origin_date,scenario_id,target_variable,horizon,target_end_date,location,type,quantile,value
2022-03-13,A-2022-02-25,inc case,1 wk,2022-03-19,DK,point,,15680.2601303
2022-03-13,A-2022-02-25,inc case,2 wk,2022-03-26,DK,point,,6376.3069404
2022-03-13,A-2022-02-25,inc case,3 wk,2022-04-02,DK,point,,2648.1928101
2022-03-13,A-2022-02-25,inc case,4 wk,2022-04-09,DK,point,,1132.628937
2022-03-13,A-2022-02-25,inc case,5 wk,2022-04-16,DK,point,,495.1408814
2022-03-13,A-2022-02-25,inc case,6 wk,2022-04-23,DK,point,,227.9916704
2022-03-13,A-2022-02-25,inc case,7 wk,2022-04-30,DK,point,,107.4993094
2022-03-13,A-2022-02-25,inc case,8 wk,2022-05-07,DK,point,,52.5617443
2022-03-13,A-2022-02-25,inc case,9 wk,2022-05-14,DK,point,,25.7635259
2022-03-13,A-2022-02-25,inc case,10 wk,2022-05-21,DK,point,,12.9201368
2022-03-13,A-2022-02-25,inc case,11 wk,2022-05-28,DK,point,,7.0451427
2022-03-13,A-2022-02-25,inc case,12 wk,2022-06-04,DK,point,,4.2857997
2022-03-13,A-2022-02-25,inc case,13 wk,2022-06-11,DK,point,,2.8029877
2022-03-13,A-2022-02-25,inc case,14 wk,2022-06-18,DK,point,,1.6058011
2022-03-13,A-2022-02-25,inc case,15 wk,2022-06-25,DK,point,,0.9872053
2022-03-13,A-2022-02-25,inc case,16 wk,2022-07-02,DK,point,,0.9297211
2022-03-13,A-2022-02-25,inc case,17 wk,2022-07-09,DK,point,,0.3708865
2022-03-13,A-2022-02-25,inc case,18 wk,2022-07-16,DK,point,,0.1145332
2022-03-13,A-2022-02-25,inc case,19 wk,2022-07-23,DK,point,,0.0015861
2022-03-13,A-2022-02-25,inc case,20 wk,2022-07-30,DK,point,,0
2022-03-13,A-2022-02-25,inc case,21 wk,2022-08-06,DK,point,,0
2022-03-13,A-2022-02-25,inc case,22 wk,2022-08-13,DK,point,,0
2022-03-13,A-2022-02-25,inc case,23 wk,2022-08-20,DK,point,,0
2022-03-13,A-2022-02-25,inc case,24 wk,2022-08-27,DK,point,,0
2022-03-13,A-2022-02-25,inc case,25 wk,2022-09-03,DK,point,,0
2022-03-13,A-2022-02-25,inc case,26 wk,2022-09-10,DK,point,,0
2022-03-13,A-2022-02-25,inc case,27 wk,2022-09-17,DK,point,,0
2022-03-13,A-2022-02-25,inc case,28 wk,2022-09-24,DK,point,,0
2022-03-13,A-2022-02-25,inc case,29 wk,2022-10-01,DK,point,,0
2022-03-13,A-2022-02-25,inc case,30 wk,2022-10-08,DK,point,,0
2022-03-13,A-2022-02-25,inc case,31 wk,2022-10-15,DK,point,,0
2022-03-13,A-2022-02-25,inc case,32 wk,2022-10-22,DK,point,,0
2022-03-13,A-2022-02-25,inc case,33 wk,2022-10-29,DK,point,,0
2022-03-13,A-2022-02-25,inc case,34 wk,2022-11-05,DK,point,,0
2022-03-13,A-2022-02-25,inc case,35 wk,2022-11-12,DK,point,,0
2022-03-13,A-2022-02-25,inc case,36 wk,2022-11-19,DK,point,,0
2022-03-13,A-2022-02-25,inc case,37 wk,2022-11-26,DK,point,,0
2022-03-13,A-2022-02-25,inc case,38 wk,2022-12-03,DK,point,,0
