location,target_end_date,target_variable,value,scenario_id,origin_date,horizon,type,quantile
AT,2022-03-05,inc case,95440,A-2022-03-04,2022-02-26,1 wk,quantile,0.01
AT,2022-03-05,inc case,108518,A-2022-03-04,2022-02-26,1 wk,quantile,0.025
AT,2022-03-05,inc case,119767,A-2022-03-04,2022-02-26,1 wk,quantile,0.05
AT,2022-03-05,inc case,132735,A-2022-03-04,2022-02-26,1 wk,quantile,0.1
AT,2022-03-05,inc case,141485,A-2022-03-04,2022-02-26,1 wk,quantile,0.15
AT,2022-03-05,inc case,148439,A-2022-03-04,2022-02-26,1 wk,quantile,0.2
AT,2022-03-05,inc case,154405,A-2022-03-04,2022-02-26,1 wk,quantile,0.25
AT,2022-03-05,inc case,159763,A-2022-03-04,2022-02-26,1 wk,quantile,0.3
AT,2022-03-05,inc case,164727,A-2022-03-04,2022-02-26,1 wk,quantile,0.35
AT,2022-03-05,inc case,169438,A-2022-03-04,2022-02-26,1 wk,quantile,0.4
AT,2022-03-05,inc case,173996,A-2022-03-04,2022-02-26,1 wk,quantile,0.45
AT,2022-03-05,inc case,178482,A-2022-03-04,2022-02-26,1 wk,quantile,0.5
AT,2022-03-05,inc case,182968,A-2022-03-04,2022-02-26,1 wk,quantile,0.55
AT,2022-03-05,inc case,187526,A-2022-03-04,2022-02-26,1 wk,quantile,0.6
AT,2022-03-05,inc case,192237,A-2022-03-04,2022-02-26,1 wk,quantile,0.65
AT,2022-03-05,inc case,197201,A-2022-03-04,2022-02-26,1 wk,quantile,0.7
AT,2022-03-05,inc case,202559,A-2022-03-04,2022-02-26,1 wk,quantile,0.75
AT,2022-03-05,inc case,208525,A-2022-03-04,2022-02-26,1 wk,quantile,0.8
AT,2022-03-05,inc case,215479,A-2022-03-04,2022-02-26,1 wk,quantile,0.85
AT,2022-03-05,inc case,224229,A-2022-03-04,2022-02-26,1 wk,quantile,0.9
AT,2022-03-05,inc case,237197,A-2022-03-04,2022-02-26,1 wk,quantile,0.95
AT,2022-03-05,inc case,248446,A-2022-03-04,2022-02-26,1 wk,quantile,0.975
AT,2022-03-05,inc case,261524,A-2022-03-04,2022-02-26,1 wk,quantile,0.99
AT,2022-03-05,inc case,116188,B-2022-03-04,2022-02-26,1 wk,quantile,0.01
AT,2022-03-05,inc case,132110,B-2022-03-04,2022-02-26,1 wk,quantile,0.025
AT,2022-03-05,inc case,145803,B-2022-03-04,2022-02-26,1 wk,quantile,0.05
AT,2022-03-05,inc case,161591,B-2022-03-04,2022-02-26,1 wk,quantile,0.1
AT,2022-03-05,inc case,172243,B-2022-03-04,2022-02-26,1 wk,quantile,0.15
AT,2022-03-05,inc case,180709,B-2022-03-04,2022-02-26,1 wk,quantile,0.2
AT,2022-03-05,inc case,187972,B-2022-03-04,2022-02-26,1 wk,quantile,0.25
AT,2022-03-05,inc case,194494,B-2022-03-04,2022-02-26,1 wk,quantile,0.3
AT,2022-03-05,inc case,200538,B-2022-03-04,2022-02-26,1 wk,quantile,0.35
AT,2022-03-05,inc case,206273,B-2022-03-04,2022-02-26,1 wk,quantile,0.4
AT,2022-03-05,inc case,211822,B-2022-03-04,2022-02-26,1 wk,quantile,0.45
AT,2022-03-05,inc case,217283,B-2022-03-04,2022-02-26,1 wk,quantile,0.5
AT,2022-03-05,inc case,222744,B-2022-03-04,2022-02-26,1 wk,quantile,0.55
AT,2022-03-05,inc case,228293,B-2022-03-04,2022-02-26,1 wk,quantile,0.6
AT,2022-03-05,inc case,234028,B-2022-03-04,2022-02-26,1 wk,quantile,0.65
AT,2022-03-05,inc case,240072,B-2022-03-04,2022-02-26,1 wk,quantile,0.7
AT,2022-03-05,inc case,246594,B-2022-03-04,2022-02-26,1 wk,quantile,0.75
AT,2022-03-05,inc case,253857,B-2022-03-04,2022-02-26,1 wk,quantile,0.8
AT,2022-03-05,inc case,262323,B-2022-03-04,2022-02-26,1 wk,quantile,0.85
AT,2022-03-05,inc case,272975,B-2022-03-04,2022-02-26,1 wk,quantile,0.9
AT,2022-03-05,inc case,288763,B-2022-03-04,2022-02-26,1 wk,quantile,0.95
AT,2022-03-05,inc case,302456,B-2022-03-04,2022-02-26,1 wk,quantile,0.975
AT,2022-03-05,inc case,318378,B-2022-03-04,2022-02-26,1 wk,quantile,0.99
AT,2022-03-05,inc death,102,A-2022-03-04,2022-02-26,1 wk,quantile,0.01
AT,2022-03-05,inc death,116,A-2022-03-04,2022-02-26,1 wk,quantile,0.025
AT,2022-03-05,inc death,127,A-2022-03-04,2022-02-26,1 wk,quantile,0.05
AT,2022-03-05,inc death,141,A-2022-03-04,2022-02-26,1 wk,quantile,0.1
AT,2022-03-05,inc death,151,A-2022-03-04,2022-02-26,1 wk,quantile,0.15
AT,2022-03-05,inc death,158,A-2022-03-04,2022-02-26,1 wk,quantile,0.2
AT,2022-03-05,inc death,164,A-2022-03-04,2022-02-26,1 wk,quantile,0.25
AT,2022-03-05,inc death,170,A-2022-03-04,2022-02-26,1 wk,quantile,0.3
AT,2022-03-05,inc death,175,A-2022-03-04,2022-02-26,1 wk,quantile,0.35
AT,2022-03-05,inc death,180,A-2022-03-04,2022-02-26,1 wk,quantile,0.4
AT,2022-03-05,inc death,185,A-2022-03-04,2022-02-26,1 wk,quantile,0.45
AT,2022-03-05,inc death,190,A-2022-03-04,2022-02-26,1 wk,quantile,0.5
AT,2022-03-05,inc death,195,A-2022-03-04,2022-02-26,1 wk,quantile,0.55
AT,2022-03-05,inc death,200,A-2022-03-04,2022-02-26,1 wk,quantile,0.6
AT,2022-03-05,inc death,205,A-2022-03-04,2022-02-26,1 wk,quantile,0.65
AT,2022-03-05,inc death,210,A-2022-03-04,2022-02-26,1 wk,quantile,0.7
AT,2022-03-05,inc death,216,A-2022-03-04,2022-02-26,1 wk,quantile,0.75
AT,2022-03-05,inc death,222,A-2022-03-04,2022-02-26,1 wk,quantile,0.8
AT,2022-03-05,inc death,229,A-2022-03-04,2022-02-26,1 wk,quantile,0.85
AT,2022-03-05,inc death,239,A-2022-03-04,2022-02-26,1 wk,quantile,0.9
AT,2022-03-05,inc death,253,A-2022-03-04,2022-02-26,1 wk,quantile,0.95
AT,2022-03-05,inc death,264,A-2022-03-04,2022-02-26,1 wk,quantile,0.975
AT,2022-03-05,inc death,278,A-2022-03-04,2022-02-26,1 wk,quantile,0.99
AT,2022-03-05,inc death,124,B-2022-03-04,2022-02-26,1 wk,quantile,0.01
AT,2022-03-05,inc death,140,B-2022-03-04,2022-02-26,1 wk,quantile,0.025
AT,2022-03-05,inc death,155,B-2022-03-04,2022-02-26,1 wk,quantile,0.05
AT,2022-03-05,inc death,172,B-2022-03-04,2022-02-26,1 wk,quantile,0.1
AT,2022-03-05,inc death,183,B-2022-03-04,2022-02-26,1 wk,quantile,0.15
AT,2022-03-05,inc death,192,B-2022-03-04,2022-02-26,1 wk,quantile,0.2
AT,2022-03-05,inc death,200,B-2022-03-04,2022-02-26,1 wk,quantile,0.25
AT,2022-03-05,inc death,207,B-2022-03-04,2022-02-26,1 wk,quantile,0.3
AT,2022-03-05,inc death,213,B-2022-03-04,2022-02-26,1 wk,quantile,0.35
AT,2022-03-05,inc death,219,B-2022-03-04,2022-02-26,1 wk,quantile,0.4
AT,2022-03-05,inc death,225,B-2022-03-04,2022-02-26,1 wk,quantile,0.45
AT,2022-03-05,inc death,231,B-2022-03-04,2022-02-26,1 wk,quantile,0.5
AT,2022-03-05,inc death,237,B-2022-03-04,2022-02-26,1 wk,quantile,0.55
AT,2022-03-05,inc death,243,B-2022-03-04,2022-02-26,1 wk,quantile,0.6
AT,2022-03-05,inc death,249,B-2022-03-04,2022-02-26,1 wk,quantile,0.65
AT,2022-03-05,inc death,255,B-2022-03-04,2022-02-26,1 wk,quantile,0.7
AT,2022-03-05,inc death,262,B-2022-03-04,2022-02-26,1 wk,quantile,0.75
AT,2022-03-05,inc death,270,B-2022-03-04,2022-02-26,1 wk,quantile,0.8
AT,2022-03-05,inc death,279,B-2022-03-04,2022-02-26,1 wk,quantile,0.85
AT,2022-03-05,inc death,290,B-2022-03-04,2022-02-26,1 wk,quantile,0.9
AT,2022-03-05,inc death,307,B-2022-03-04,2022-02-26,1 wk,quantile,0.95
AT,2022-03-05,inc death,322,B-2022-03-04,2022-02-26,1 wk,quantile,0.975
AT,2022-03-05,inc death,338,B-2022-03-04,2022-02-26,1 wk,quantile,0.99
