location,target_end_date,target_variable,value,scenario_id,origin_date,horizon,type,quantile
AT,2022-03-12,inc case,103489,B-2022-03-04,2022-02-26,2 wk,quantile,0.01
AT,2022-03-12,inc case,117671,B-2022-03-04,2022-02-26,2 wk,quantile,0.025
AT,2022-03-12,inc case,129868,B-2022-03-04,2022-02-26,2 wk,quantile,0.05
AT,2022-03-12,inc case,143930,B-2022-03-04,2022-02-26,2 wk,quantile,0.1
AT,2022-03-12,inc case,153418,B-2022-03-04,2022-02-26,2 wk,quantile,0.15
AT,2022-03-12,inc case,160958,B-2022-03-04,2022-02-26,2 wk,quantile,0.2
AT,2022-03-12,inc case,167428,B-2022-03-04,2022-02-26,2 wk,quantile,0.25
AT,2022-03-12,inc case,173237,B-2022-03-04,2022-02-26,2 wk,quantile,0.3
AT,2022-03-12,inc case,178620,B-2022-03-04,2022-02-26,2 wk,quantile,0.35
AT,2022-03-12,inc case,183729,B-2022-03-04,2022-02-26,2 wk,quantile,0.4
AT,2022-03-12,inc case,188671,B-2022-03-04,2022-02-26,2 wk,quantile,0.45
AT,2022-03-12,inc case,193535,B-2022-03-04,2022-02-26,2 wk,quantile,0.5
AT,2022-03-12,inc case,198399,B-2022-03-04,2022-02-26,2 wk,quantile,0.55
AT,2022-03-12,inc case,203341,B-2022-03-04,2022-02-26,2 wk,quantile,0.6
AT,2022-03-12,inc case,208450,B-2022-03-04,2022-02-26,2 wk,quantile,0.65
AT,2022-03-12,inc case,213833,B-2022-03-04,2022-02-26,2 wk,quantile,0.7
AT,2022-03-12,inc case,219642,B-2022-03-04,2022-02-26,2 wk,quantile,0.75
AT,2022-03-12,inc case,226112,B-2022-03-04,2022-02-26,2 wk,quantile,0.8
AT,2022-03-12,inc case,233652,B-2022-03-04,2022-02-26,2 wk,quantile,0.85
AT,2022-03-12,inc case,243140,B-2022-03-04,2022-02-26,2 wk,quantile,0.9
AT,2022-03-12,inc case,257202,B-2022-03-04,2022-02-26,2 wk,quantile,0.95
AT,2022-03-12,inc case,269399,B-2022-03-04,2022-02-26,2 wk,quantile,0.975
AT,2022-03-12,inc case,283581,B-2022-03-04,2022-02-26,2 wk,quantile,0.99
AT,2022-03-12,inc case,110894,A-2022-03-04,2022-02-26,2 wk,quantile,0.01
AT,2022-03-12,inc case,126090,A-2022-03-04,2022-02-26,2 wk,quantile,0.025
AT,2022-03-12,inc case,139160,A-2022-03-04,2022-02-26,2 wk,quantile,0.05
AT,2022-03-12,inc case,154229,A-2022-03-04,2022-02-26,2 wk,quantile,0.1
AT,2022-03-12,inc case,164395,A-2022-03-04,2022-02-26,2 wk,quantile,0.15
AT,2022-03-12,inc case,172475,A-2022-03-04,2022-02-26,2 wk,quantile,0.2
AT,2022-03-12,inc case,179407,A-2022-03-04,2022-02-26,2 wk,quantile,0.25
AT,2022-03-12,inc case,185633,A-2022-03-04,2022-02-26,2 wk,quantile,0.3
AT,2022-03-12,inc case,191401,A-2022-03-04,2022-02-26,2 wk,quantile,0.35
AT,2022-03-12,inc case,196875,A-2022-03-04,2022-02-26,2 wk,quantile,0.4
AT,2022-03-12,inc case,202171,A-2022-03-04,2022-02-26,2 wk,quantile,0.45
AT,2022-03-12,inc case,207383,A-2022-03-04,2022-02-26,2 wk,quantile,0.5
AT,2022-03-12,inc case,212595,A-2022-03-04,2022-02-26,2 wk,quantile,0.55
AT,2022-03-12,inc case,217891,A-2022-03-04,2022-02-26,2 wk,quantile,0.6
AT,2022-03-12,inc case,223365,A-2022-03-04,2022-02-26,2 wk,quantile,0.65
AT,2022-03-12,inc case,229133,A-2022-03-04,2022-02-26,2 wk,quantile,0.7
AT,2022-03-12,inc case,235359,A-2022-03-04,2022-02-26,2 wk,quantile,0.75
AT,2022-03-12,inc case,242291,A-2022-03-04,2022-02-26,2 wk,quantile,0.8
AT,2022-03-12,inc case,250371,A-2022-03-04,2022-02-26,2 wk,quantile,0.85
AT,2022-03-12,inc case,260537,A-2022-03-04,2022-02-26,2 wk,quantile,0.9
AT,2022-03-12,inc case,275606,A-2022-03-04,2022-02-26,2 wk,quantile,0.95
AT,2022-03-12,inc case,288676,A-2022-03-04,2022-02-26,2 wk,quantile,0.975
AT,2022-03-12,inc case,303872,A-2022-03-04,2022-02-26,2 wk,quantile,0.99
AT,2022-03-12,inc death,110,B-2022-03-04,2022-02-26,2 wk,quantile,0.01
AT,2022-03-12,inc death,125,B-2022-03-04,2022-02-26,2 wk,quantile,0.025
AT,2022-03-12,inc death,138,B-2022-03-04,2022-02-26,2 wk,quantile,0.05
AT,2022-03-12,inc death,153,B-2022-03-04,2022-02-26,2 wk,quantile,0.1
AT,2022-03-12,inc death,163,B-2022-03-04,2022-02-26,2 wk,quantile,0.15
AT,2022-03-12,inc death,171,B-2022-03-04,2022-02-26,2 wk,quantile,0.2
AT,2022-03-12,inc death,178,B-2022-03-04,2022-02-26,2 wk,quantile,0.25
AT,2022-03-12,inc death,184,B-2022-03-04,2022-02-26,2 wk,quantile,0.3
AT,2022-03-12,inc death,190,B-2022-03-04,2022-02-26,2 wk,quantile,0.35
AT,2022-03-12,inc death,196,B-2022-03-04,2022-02-26,2 wk,quantile,0.4
AT,2022-03-12,inc death,201,B-2022-03-04,2022-02-26,2 wk,quantile,0.45
AT,2022-03-12,inc death,206,B-2022-03-04,2022-02-26,2 wk,quantile,0.5
AT,2022-03-12,inc death,211,B-2022-03-04,2022-02-26,2 wk,quantile,0.55
AT,2022-03-12,inc death,216,B-2022-03-04,2022-02-26,2 wk,quantile,0.6
AT,2022-03-12,inc death,222,B-2022-03-04,2022-02-26,2 wk,quantile,0.65
AT,2022-03-12,inc death,228,B-2022-03-04,2022-02-26,2 wk,quantile,0.7
AT,2022-03-12,inc death,234,B-2022-03-04,2022-02-26,2 wk,quantile,0.75
AT,2022-03-12,inc death,241,B-2022-03-04,2022-02-26,2 wk,quantile,0.8
AT,2022-03-12,inc death,249,B-2022-03-04,2022-02-26,2 wk,quantile,0.85
AT,2022-03-12,inc death,259,B-2022-03-04,2022-02-26,2 wk,quantile,0.9
AT,2022-03-12,inc death,274,B-2022-03-04,2022-02-26,2 wk,quantile,0.95
AT,2022-03-12,inc death,287,B-2022-03-04,2022-02-26,2 wk,quantile,0.975
AT,2022-03-12,inc death,302,B-2022-03-04,2022-02-26,2 wk,quantile,0.99
AT,2022-03-12,inc death,118,A-2022-03-04,2022-02-26,2 wk,quantile,0.01
AT,2022-03-12,inc death,134,A-2022-03-04,2022-02-26,2 wk,quantile,0.025
AT,2022-03-12,inc death,148,A-2022-03-04,2022-02-26,2 wk,quantile,0.05
AT,2022-03-12,inc death,164,A-2022-03-04,2022-02-26,2 wk,quantile,0.1
AT,2022-03-12,inc death,175,A-2022-03-04,2022-02-26,2 wk,quantile,0.15
AT,2022-03-12,inc death,184,A-2022-03-04,2022-02-26,2 wk,quantile,0.2
AT,2022-03-12,inc death,191,A-2022-03-04,2022-02-26,2 wk,quantile,0.25
AT,2022-03-12,inc death,198,A-2022-03-04,2022-02-26,2 wk,quantile,0.3
AT,2022-03-12,inc death,204,A-2022-03-04,2022-02-26,2 wk,quantile,0.35
AT,2022-03-12,inc death,210,A-2022-03-04,2022-02-26,2 wk,quantile,0.4
AT,2022-03-12,inc death,215,A-2022-03-04,2022-02-26,2 wk,quantile,0.45
AT,2022-03-12,inc death,221,A-2022-03-04,2022-02-26,2 wk,quantile,0.5
AT,2022-03-12,inc death,227,A-2022-03-04,2022-02-26,2 wk,quantile,0.55
AT,2022-03-12,inc death,232,A-2022-03-04,2022-02-26,2 wk,quantile,0.6
AT,2022-03-12,inc death,238,A-2022-03-04,2022-02-26,2 wk,quantile,0.65
AT,2022-03-12,inc death,244,A-2022-03-04,2022-02-26,2 wk,quantile,0.7
AT,2022-03-12,inc death,251,A-2022-03-04,2022-02-26,2 wk,quantile,0.75
AT,2022-03-12,inc death,258,A-2022-03-04,2022-02-26,2 wk,quantile,0.8
AT,2022-03-12,inc death,267,A-2022-03-04,2022-02-26,2 wk,quantile,0.85
AT,2022-03-12,inc death,278,A-2022-03-04,2022-02-26,2 wk,quantile,0.9
AT,2022-03-12,inc death,294,A-2022-03-04,2022-02-26,2 wk,quantile,0.95
AT,2022-03-12,inc death,308,A-2022-03-04,2022-02-26,2 wk,quantile,0.975
AT,2022-03-12,inc death,324,A-2022-03-04,2022-02-26,2 wk,quantile,0.99
BE,2022-03-05,inc case,22476,A-2022-03-04,2022-02-26,1 wk,quantile,0.01
BE,2022-03-05,inc case,25556,A-2022-03-04,2022-02-26,1 wk,quantile,0.025
BE,2022-03-05,inc case,28205,A-2022-03-04,2022-02-26,1 wk,quantile,0.05
BE,2022-03-05,inc case,31259,A-2022-03-04,2022-02-26,1 wk,quantile,0.1
BE,2022-03-05,inc case,33319,A-2022-03-04,2022-02-26,1 wk,quantile,0.15
BE,2022-03-05,inc case,34957,A-2022-03-04,2022-02-26,1 wk,quantile,0.2
BE,2022-03-05,inc case,36362,A-2022-03-04,2022-02-26,1 wk,quantile,0.25
BE,2022-03-05,inc case,37624,A-2022-03-04,2022-02-26,1 wk,quantile,0.3
BE,2022-03-05,inc case,38793,A-2022-03-04,2022-02-26,1 wk,quantile,0.35
BE,2022-03-05,inc case,39902,A-2022-03-04,2022-02-26,1 wk,quantile,0.4
BE,2022-03-05,inc case,40976,A-2022-03-04,2022-02-26,1 wk,quantile,0.45
BE,2022-03-05,inc case,42032,A-2022-03-04,2022-02-26,1 wk,quantile,0.5
BE,2022-03-05,inc case,43088,A-2022-03-04,2022-02-26,1 wk,quantile,0.55
BE,2022-03-05,inc case,44162,A-2022-03-04,2022-02-26,1 wk,quantile,0.6
BE,2022-03-05,inc case,45271,A-2022-03-04,2022-02-26,1 wk,quantile,0.65
BE,2022-03-05,inc case,46440,A-2022-03-04,2022-02-26,1 wk,quantile,0.7
BE,2022-03-05,inc case,47702,A-2022-03-04,2022-02-26,1 wk,quantile,0.75
BE,2022-03-05,inc case,49107,A-2022-03-04,2022-02-26,1 wk,quantile,0.8
BE,2022-03-05,inc case,50745,A-2022-03-04,2022-02-26,1 wk,quantile,0.85
BE,2022-03-05,inc case,52805,A-2022-03-04,2022-02-26,1 wk,quantile,0.9
BE,2022-03-05,inc case,55859,A-2022-03-04,2022-02-26,1 wk,quantile,0.95
BE,2022-03-05,inc case,58508,A-2022-03-04,2022-02-26,1 wk,quantile,0.975
BE,2022-03-05,inc case,61588,A-2022-03-04,2022-02-26,1 wk,quantile,0.99
BE,2022-03-05,inc case,27362,B-2022-03-04,2022-02-26,1 wk,quantile,0.01
BE,2022-03-05,inc case,31111,B-2022-03-04,2022-02-26,1 wk,quantile,0.025
BE,2022-03-05,inc case,34336,B-2022-03-04,2022-02-26,1 wk,quantile,0.05
BE,2022-03-05,inc case,38054,B-2022-03-04,2022-02-26,1 wk,quantile,0.1
BE,2022-03-05,inc case,40562,B-2022-03-04,2022-02-26,1 wk,quantile,0.15
BE,2022-03-05,inc case,42556,B-2022-03-04,2022-02-26,1 wk,quantile,0.2
BE,2022-03-05,inc case,44266,B-2022-03-04,2022-02-26,1 wk,quantile,0.25
BE,2022-03-05,inc case,45802,B-2022-03-04,2022-02-26,1 wk,quantile,0.3
BE,2022-03-05,inc case,47226,B-2022-03-04,2022-02-26,1 wk,quantile,0.35
BE,2022-03-05,inc case,48576,B-2022-03-04,2022-02-26,1 wk,quantile,0.4
BE,2022-03-05,inc case,49883,B-2022-03-04,2022-02-26,1 wk,quantile,0.45
BE,2022-03-05,inc case,51169,B-2022-03-04,2022-02-26,1 wk,quantile,0.5
BE,2022-03-05,inc case,52455,B-2022-03-04,2022-02-26,1 wk,quantile,0.55
BE,2022-03-05,inc case,53762,B-2022-03-04,2022-02-26,1 wk,quantile,0.6
BE,2022-03-05,inc case,55112,B-2022-03-04,2022-02-26,1 wk,quantile,0.65
BE,2022-03-05,inc case,56536,B-2022-03-04,2022-02-26,1 wk,quantile,0.7
BE,2022-03-05,inc case,58072,B-2022-03-04,2022-02-26,1 wk,quantile,0.75
BE,2022-03-05,inc case,59782,B-2022-03-04,2022-02-26,1 wk,quantile,0.8
BE,2022-03-05,inc case,61776,B-2022-03-04,2022-02-26,1 wk,quantile,0.85
BE,2022-03-05,inc case,64284,B-2022-03-04,2022-02-26,1 wk,quantile,0.9
BE,2022-03-05,inc case,68002,B-2022-03-04,2022-02-26,1 wk,quantile,0.95
BE,2022-03-05,inc case,71227,B-2022-03-04,2022-02-26,1 wk,quantile,0.975
BE,2022-03-05,inc case,74976,B-2022-03-04,2022-02-26,1 wk,quantile,0.99
BE,2022-03-05,inc death,91,A-2022-03-04,2022-02-26,1 wk,quantile,0.01
BE,2022-03-05,inc death,103,A-2022-03-04,2022-02-26,1 wk,quantile,0.025
BE,2022-03-05,inc death,114,A-2022-03-04,2022-02-26,1 wk,quantile,0.05
BE,2022-03-05,inc death,126,A-2022-03-04,2022-02-26,1 wk,quantile,0.1
BE,2022-03-05,inc death,135,A-2022-03-04,2022-02-26,1 wk,quantile,0.15
BE,2022-03-05,inc death,141,A-2022-03-04,2022-02-26,1 wk,quantile,0.2
BE,2022-03-05,inc death,147,A-2022-03-04,2022-02-26,1 wk,quantile,0.25
BE,2022-03-05,inc death,152,A-2022-03-04,2022-02-26,1 wk,quantile,0.3
BE,2022-03-05,inc death,157,A-2022-03-04,2022-02-26,1 wk,quantile,0.35
BE,2022-03-05,inc death,161,A-2022-03-04,2022-02-26,1 wk,quantile,0.4
BE,2022-03-05,inc death,166,A-2022-03-04,2022-02-26,1 wk,quantile,0.45
BE,2022-03-05,inc death,170,A-2022-03-04,2022-02-26,1 wk,quantile,0.5
BE,2022-03-05,inc death,174,A-2022-03-04,2022-02-26,1 wk,quantile,0.55
BE,2022-03-05,inc death,179,A-2022-03-04,2022-02-26,1 wk,quantile,0.6
BE,2022-03-05,inc death,183,A-2022-03-04,2022-02-26,1 wk,quantile,0.65
BE,2022-03-05,inc death,188,A-2022-03-04,2022-02-26,1 wk,quantile,0.7
BE,2022-03-05,inc death,193,A-2022-03-04,2022-02-26,1 wk,quantile,0.75
BE,2022-03-05,inc death,199,A-2022-03-04,2022-02-26,1 wk,quantile,0.8
BE,2022-03-05,inc death,205,A-2022-03-04,2022-02-26,1 wk,quantile,0.85
BE,2022-03-05,inc death,214,A-2022-03-04,2022-02-26,1 wk,quantile,0.9
BE,2022-03-05,inc death,226,A-2022-03-04,2022-02-26,1 wk,quantile,0.95
BE,2022-03-05,inc death,237,A-2022-03-04,2022-02-26,1 wk,quantile,0.975
BE,2022-03-05,inc death,249,A-2022-03-04,2022-02-26,1 wk,quantile,0.99
BE,2022-03-05,inc death,110,B-2022-03-04,2022-02-26,1 wk,quantile,0.01
BE,2022-03-05,inc death,125,B-2022-03-04,2022-02-26,1 wk,quantile,0.025
BE,2022-03-05,inc death,138,B-2022-03-04,2022-02-26,1 wk,quantile,0.05
BE,2022-03-05,inc death,153,B-2022-03-04,2022-02-26,1 wk,quantile,0.1
BE,2022-03-05,inc death,163,B-2022-03-04,2022-02-26,1 wk,quantile,0.15
BE,2022-03-05,inc death,171,B-2022-03-04,2022-02-26,1 wk,quantile,0.2
BE,2022-03-05,inc death,178,B-2022-03-04,2022-02-26,1 wk,quantile,0.25
BE,2022-03-05,inc death,184,B-2022-03-04,2022-02-26,1 wk,quantile,0.3
BE,2022-03-05,inc death,190,B-2022-03-04,2022-02-26,1 wk,quantile,0.35
BE,2022-03-05,inc death,196,B-2022-03-04,2022-02-26,1 wk,quantile,0.4
BE,2022-03-05,inc death,201,B-2022-03-04,2022-02-26,1 wk,quantile,0.45
BE,2022-03-05,inc death,206,B-2022-03-04,2022-02-26,1 wk,quantile,0.5
BE,2022-03-05,inc death,211,B-2022-03-04,2022-02-26,1 wk,quantile,0.55
BE,2022-03-05,inc death,216,B-2022-03-04,2022-02-26,1 wk,quantile,0.6
BE,2022-03-05,inc death,222,B-2022-03-04,2022-02-26,1 wk,quantile,0.65
BE,2022-03-05,inc death,228,B-2022-03-04,2022-02-26,1 wk,quantile,0.7
BE,2022-03-05,inc death,234,B-2022-03-04,2022-02-26,1 wk,quantile,0.75
BE,2022-03-05,inc death,241,B-2022-03-04,2022-02-26,1 wk,quantile,0.8
BE,2022-03-05,inc death,249,B-2022-03-04,2022-02-26,1 wk,quantile,0.85
BE,2022-03-05,inc death,259,B-2022-03-04,2022-02-26,1 wk,quantile,0.9
BE,2022-03-05,inc death,274,B-2022-03-04,2022-02-26,1 wk,quantile,0.95
BE,2022-03-05,inc death,287,B-2022-03-04,2022-02-26,1 wk,quantile,0.975
BE,2022-03-05,inc death,302,B-2022-03-04,2022-02-26,1 wk,quantile,0.99
BE,2022-03-12,inc case,24371,B-2022-03-04,2022-02-26,2 wk,quantile,0.01
BE,2022-03-12,inc case,27711,B-2022-03-04,2022-02-26,2 wk,quantile,0.025
BE,2022-03-12,inc case,30583,B-2022-03-04,2022-02-26,2 wk,quantile,0.05
BE,2022-03-12,inc case,33894,B-2022-03-04,2022-02-26,2 wk,quantile,0.1
BE,2022-03-12,inc case,36129,B-2022-03-04,2022-02-26,2 wk,quantile,0.15
BE,2022-03-12,inc case,37904,B-2022-03-04,2022-02-26,2 wk,quantile,0.2
BE,2022-03-12,inc case,39428,B-2022-03-04,2022-02-26,2 wk,quantile,0.25
BE,2022-03-12,inc case,40796,B-2022-03-04,2022-02-26,2 wk,quantile,0.3
BE,2022-03-12,inc case,42064,B-2022-03-04,2022-02-26,2 wk,quantile,0.35
BE,2022-03-12,inc case,43267,B-2022-03-04,2022-02-26,2 wk,quantile,0.4
BE,2022-03-12,inc case,44431,B-2022-03-04,2022-02-26,2 wk,quantile,0.45
BE,2022-03-12,inc case,45576,B-2022-03-04,2022-02-26,2 wk,quantile,0.5
BE,2022-03-12,inc case,46721,B-2022-03-04,2022-02-26,2 wk,quantile,0.55
BE,2022-03-12,inc case,47885,B-2022-03-04,2022-02-26,2 wk,quantile,0.6
BE,2022-03-12,inc case,49088,B-2022-03-04,2022-02-26,2 wk,quantile,0.65
BE,2022-03-12,inc case,50356,B-2022-03-04,2022-02-26,2 wk,quantile,0.7
BE,2022-03-12,inc case,51724,B-2022-03-04,2022-02-26,2 wk,quantile,0.75
BE,2022-03-12,inc case,53248,B-2022-03-04,2022-02-26,2 wk,quantile,0.8
BE,2022-03-12,inc case,55023,B-2022-03-04,2022-02-26,2 wk,quantile,0.85
BE,2022-03-12,inc case,57258,B-2022-03-04,2022-02-26,2 wk,quantile,0.9
BE,2022-03-12,inc case,60569,B-2022-03-04,2022-02-26,2 wk,quantile,0.95
BE,2022-03-12,inc case,63441,B-2022-03-04,2022-02-26,2 wk,quantile,0.975
BE,2022-03-12,inc case,66781,B-2022-03-04,2022-02-26,2 wk,quantile,0.99
BE,2022-03-12,inc case,26115,A-2022-03-04,2022-02-26,2 wk,quantile,0.01
BE,2022-03-12,inc case,29694,A-2022-03-04,2022-02-26,2 wk,quantile,0.025
BE,2022-03-12,inc case,32772,A-2022-03-04,2022-02-26,2 wk,quantile,0.05
BE,2022-03-12,inc case,36320,A-2022-03-04,2022-02-26,2 wk,quantile,0.1
BE,2022-03-12,inc case,38715,A-2022-03-04,2022-02-26,2 wk,quantile,0.15
BE,2022-03-12,inc case,40617,A-2022-03-04,2022-02-26,2 wk,quantile,0.2
