"","horizon","age_id","scenario_id","sample","location","target_variable","value"
"39","1 wk","adult","A",79,"LI","inc infection",0
"40","1 wk","adult","A",80,"LI","inc infection",0
"41","1 wk","adult","B",1,"LI","inc infection",0
"42","1 wk","adult","B",2,"LI","inc infection",0
"43","1 wk","adult","B",3,"LI","inc infection",0
"44","1 wk","adult","B",4,"LI","inc infection",0
"45","1 wk","adult","B",5,"LI","inc infection",0
"46","1 wk","adult","B",6,"LI","inc infection",0
"47","1 wk","adult","B",7,"LI","inc infection",0
"48","1 wk","adult","B",8,"LI","inc infection",0
"49","1 wk","adult","B",19,"LI","inc infection",0
"50","1 wk","adult","B",20,"LI","inc infection",0
"51","1 wk","adult","B",21,"LI","inc infection",0
"52","1 wk","adult","B",22,"LI","inc infection",0
"53","1 wk","adult","B",23,"LI","inc infection",0
"54","1 wk","adult","B",24,"LI","inc infection",0
"55","1 wk","adult","B",25,"LI","inc infection",0
"56","1 wk","adult","B",26,"LI","inc infection",0
"57","1 wk","adult","B",37,"LI","inc infection",0
"58","1 wk","adult","B",38,"LI","inc infection",0
"59","1 wk","adult","B",39,"LI","inc infection",0
"60","1 wk","adult","B",40,"LI","inc infection",0
"61","1 wk","adult","B",41,"LI","inc infection",0
"62","1 wk","adult","B",42,"LI","inc infection",0
"63","1 wk","adult","B",43,"LI","inc infection",0
"64","1 wk","adult","B",44,"LI","inc infection",0
"65","1 wk","adult","B",55,"LI","inc infection",0
"66","1 wk","adult","B",56,"LI","inc infection",0
"67","1 wk","adult","B",57,"LI","inc infection",0
"68","1 wk","adult","B",58,"LI","inc infection",0
"69","1 wk","adult","B",59,"LI","inc infection",0
"70","1 wk","adult","B",60,"LI","inc infection",0
"71","1 wk","adult","B",61,"LI","inc infection",0
"72","1 wk","adult","B",62,"LI","inc infection",0
"73","1 wk","adult","B",73,"LI","inc infection",0
"74","1 wk","adult","B",74,"LI","inc infection",0
"75","1 wk","adult","B",75,"LI","inc infection",0
"76","1 wk","adult","B",76,"LI","inc infection",0
"77","1 wk","adult","B",77,"LI","inc infection",0
"78","1 wk","adult","B",78,"LI","inc infection",0
"79","1 wk","adult","B",79,"LI","inc infection",0
"80","1 wk","adult","B",80,"LI","inc infection",0
"81","1 wk","adult","C",1,"LI","inc infection",0
"82","1 wk","adult","C",2,"LI","inc infection",0
"83","1 wk","adult","C",3,"LI","inc infection",0
"84","1 wk","adult","C",4,"LI","inc infection",0
"85","1 wk","adult","C",5,"LI","inc infection",0
"86","1 wk","adult","C",6,"LI","inc infection",0
"87","1 wk","adult","C",7,"LI","inc infection",0
"88","1 wk","adult","C",8,"LI","inc infection",0
"89","1 wk","adult","C",19,"LI","inc infection",0
"90","1 wk","adult","C",20,"LI","inc infection",0
"91","1 wk","adult","C",21,"LI","inc infection",0
"92","1 wk","adult","C",22,"LI","inc infection",0
"93","1 wk","adult","C",23,"LI","inc infection",0
"94","1 wk","adult","C",24,"LI","inc infection",0
"95","1 wk","adult","C",25,"LI","inc infection",0
"96","1 wk","adult","C",26,"LI","inc infection",0
"97","1 wk","adult","C",37,"LI","inc infection",0
"98","1 wk","adult","C",38,"LI","inc infection",0
"99","1 wk","adult","C",39,"LI","inc infection",0
"100","1 wk","adult","C",40,"LI","inc infection",0
"101","1 wk","adult","C",41,"LI","inc infection",0
"102","1 wk","adult","C",42,"LI","inc infection",0
"103","1 wk","adult","C",43,"LI","inc infection",0
"104","1 wk","adult","C",44,"LI","inc infection",0
"105","1 wk","adult","C",55,"LI","inc infection",0
"106","1 wk","adult","C",56,"LI","inc infection",0
"107","1 wk","adult","C",57,"LI","inc infection",0
"108","1 wk","adult","C",58,"LI","inc infection",0
"109","1 wk","adult","C",59,"LI","inc infection",0
"110","1 wk","adult","C",60,"LI","inc infection",0
"111","1 wk","adult","C",61,"LI","inc infection",0
"112","1 wk","adult","C",62,"LI","inc infection",0
"113","1 wk","adult","C",73,"LI","inc infection",0
"114","1 wk","adult","C",74,"LI","inc infection",0
"115","1 wk","adult","C",75,"LI","inc infection",0
"116","1 wk","adult","C",76,"LI","inc infection",0
"117","1 wk","adult","C",77,"LI","inc infection",0
"118","1 wk","adult","C",78,"LI","inc infection",0
"119","1 wk","adult","C",79,"LI","inc infection",0
"120","1 wk","adult","C",80,"LI","inc infection",0
"121","1 wk","adult","D",1,"LI","inc infection",0
"122","1 wk","adult","D",2,"LI","inc infection",0
"123","1 wk","adult","D",3,"LI","inc infection",0
"124","1 wk","adult","D",4,"LI","inc infection",0
"125","1 wk","adult","D",5,"LI","inc infection",0
"126","1 wk","adult","D",6,"LI","inc infection",0
"127","1 wk","adult","D",7,"LI","inc infection",0
