sample,epiweek,value,origin_date,scenario_id,target_end_date,horizon,location,target_variable
1,21,3472.7181648892283,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,22,3107.1778121227253,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,23,2745.3996252145143,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,24,2417.526033304784,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,25,2128.288926244086,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,26,1880.2201399116452,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,27,1674.0643643642704,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,28,1509.2011719704292,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,29,1384.398905913771,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,30,1298.6760432013755,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,31,1252.3168841994802,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,32,1246.8413844355514,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,33,1288.9457137181398,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,34,1389.6444354598755,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,35,1570.1903206697623,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,36,1866.2004851831293,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,37,2340.0138851173897,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,38,3081.941285110479,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,39,4188.168104908798,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,40,5872.8419455018875,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,41,8491.07027377647,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,42,12617.956091456907,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,43,19222.578260514143,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,44,29882.125534538714,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,45,47083.04925744308,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,46,74359.94623268614,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,47,115940.58998367951,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,48,174748.74958712992,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,49,247567.73582408266,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,50,319587.94434800354,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,51,366312.6927251874,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
1,52,368568.81217941496,2022-05-22,A-2022-05-22,2023-05-20,52,NL,inc case
