sample,value,origin_date,scenario_id,target_end_date,horizon,location,target_variable
1,47083,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,74360,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,115941,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,174749,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,247568,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,319588,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,366313,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,368569,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,328151,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,264858,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,200100,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,146103,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,105954,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,77941,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,59018,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,46415,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,38067,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,32560,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,28961,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,26655,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,25230,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,24399,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,23950,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,23718,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,23575,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,23419,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,23177,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
1,22805,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,3225,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,2439,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,1809,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,1334,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,984,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,728,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,544,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,411,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,316,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,249,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,202,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,169,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,147,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,133,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,126,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,126,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,133,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,148,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,170,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,202,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,247,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,311,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,404,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,538,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,735,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
