sample,epiweek,value,origin_date,scenario_id,target_end_date,horizon,location,target_variable
10,44,538,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,45,735,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,46,1026,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,47,1463,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,48,2121,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,49,3117,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,50,4629,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,51,6916,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,52,10356,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,1,15464,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,2,22905,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,3,33445,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,4,47805,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,5,66343,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,6,88578,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,7,112677,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,8,135287,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,9,152135,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,10,159509,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,11,155872,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,12,142545,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,13,122938,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,14,100998,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,15,79894,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,16,61490,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,17,46474,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,18,34763,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,19,25898,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
10,20,19310,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,21,3337,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,22,2869,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
100,23,2495,2022-05-22,A-2022-05-22,2023-05-20,52 wk,NL,inc case
