"location","origin_date","target_end_date","target_variable","type","quantile","value","horizon","scenario_id"
"AT",2022-03-13,2022-03-19,"inc case","point",NA,237202,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.01,103998,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.025,116081,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.05,129577,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.1,144652,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.15,154898,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.2,165876,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.25,177639,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.3,190243,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.35,201005,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.4,212384,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.45,224415,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.5,237202,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.55,250587,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.6,264811,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.65,279852,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.7,295759,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.75,316697,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.8,339127,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.85,363159,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.9,388905,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.95,433934,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.975,484199,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-19,"inc case","quantile",0.99,540312,1 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","point",NA,253845,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.01,86641,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.025,99685,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.05,114700,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.1,131986,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.15,144359,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.2,157897,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.25,172708,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.3,188914,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.35,203032,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.4,218207,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.45,234518,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.5,253845,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.55,270897,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.6,291154,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.65,312929,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.7,336335,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.75,363926,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.8,393780,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.85,426084,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.9,461038,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.95,517297,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.975,580432,2 wk,C-2022-02-25
"AT",2022-03-13,2022-03-26,"inc case","quantile",0.99,651286,2 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","point",NA,265118,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.01,78263,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.025,92184,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.05,108585,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.1,127908,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.15,141692,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.2,156962,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.25,173880,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.3,192621,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.35,207359,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.4,223225,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.45,240306,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.5,265118,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.55,278493,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.6,299807,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.65,322753,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.7,347457,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.75,370934,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.8,396018,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.85,422821,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.9,451463,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.95,489651,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.975,531183,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-02,"inc case","quantile",0.99,576363,3 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","point",NA,268263,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.01,77609,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.025,92760,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.05,110870,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.1,132516,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.15,147159,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.2,163420,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.25,181479,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.3,201533,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.35,213810,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.4,226844,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.45,240682,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.5,268263,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.55,271500,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.6,287534,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.65,305120,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.7,323795,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.75,335323,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.8,347284,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.85,359698,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.9,372580,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.95,393321,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.975,415216,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-09,"inc case","quantile",0.99,438330,4 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","point",NA,261575,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.01,83892,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.025,100725,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.05,120935,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.1,145201,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.15,159902,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.2,176094,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.25,193929,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.3,213573,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.35,221090,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.4,228881,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.45,236958,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.5,261575,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.55,261575,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.6,263643,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.65,272342,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.7,282017,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.75,289544,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.8,297272,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.85,305206,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.9,313352,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.95,330795,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.975,349210,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-16,"inc case","quantile",0.99,368649,5 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","point",NA,247482,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.01,97407,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.025,114258,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.05,134086,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.1,157428,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.15,169731,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.2,183005,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.25,197328,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.3,212783,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.35,218255,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.4,223870,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.45,229630,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.5,247482,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.55,247482,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.6,248070,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.65,254209,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.7,260758,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.75,267717,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.8,274863,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.85,282199,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.9,289731,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.95,305859,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.975,322885,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-23,"inc case","quantile",0.99,340860,6 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","point",NA,231432,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.01,113408,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.025,123580,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.05,134684,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.1,146808,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.15,156471,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.2,166772,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.25,177755,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.3,189464,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.35,197045,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.4,204934,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.45,213141,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.5,231432,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.55,232454,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.6,239813,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.65,249434,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.7,259445,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.75,266370,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.8,273479,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.85,280778,7 wk,C-2022-02-25
