"location","origin_date","target_end_date","target_variable","type","quantile","value","horizon","scenario_id"
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.9,288272,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.95,304320,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.975,321260,7 wk,C-2022-02-25
"AT",2022-03-13,2022-04-30,"inc case","quantile",0.99,339144,7 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","point",NA,218944,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.01,128089,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.025,135479,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.05,143297,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.1,151568,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.15,158453,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.2,165659,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.25,173201,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.3,181093,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.35,189722,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.4,198762,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.45,208233,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.5,218944,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.55,228550,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.6,239440,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.65,250850,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.7,262803,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.75,271267,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.8,280014,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.85,289052,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.9,298392,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.95,315002,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.975,332538,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-07,"inc case","quantile",0.99,351049,8 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","point",NA,211808,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.01,141844,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.025,149740,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.05,158076,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.1,166875,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.15,171467,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.2,176184,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.25,181032,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.3,186014,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.35,193772,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.4,201854,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.45,210276,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.5,212267,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.55,228196,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.6,237724,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.65,247653,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.7,257999,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.75,271971,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.8,286705,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.85,302241,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.9,318625,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.95,336362,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.975,355087,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-14,"inc case","quantile",0.99,374853,9 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","point",NA,208336,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.01,149986,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.025,158335,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.05,167149,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.1,176454,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.15,181163,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.2,185998,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.25,190963,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.3,196060,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.35,201355,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.4,206798,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.45,212392,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.5,212392,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.55,224048,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.6,230121,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.65,236362,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.7,242777,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.75,257459,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.8,273030,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.85,289542,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.9,307053,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.95,326639,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.975,347509,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-21,"inc case","quantile",0.99,369750,10 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","point",NA,198050,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.01,143831,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.025,151838,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.05,160290,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.1,169213,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.15,173729,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.2,178366,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.25,183127,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.3,188014,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.35,192286,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.4,196655,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.45,201123,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.5,201123,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.55,210370,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.6,215153,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.65,220046,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.7,225050,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.75,238324,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.8,252381,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.85,267267,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.9,283031,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.95,307779,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.975,334706,11 wk,C-2022-02-25
"AT",2022-03-13,2022-05-28,"inc case","quantile",0.99,364006,11 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","point",NA,184101,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.01,128056,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.025,135184,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.05,142710,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.1,150654,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.15,154675,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.2,158803,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.25,163042,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.3,167393,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.35,172889,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.4,178567,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.45,184433,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.5,185064,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.55,196754,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.6,203223,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.65,209907,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.7,216812,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.75,227845,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.8,239444,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.85,251636,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.9,264453,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.95,280256,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.975,297010,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-04,"inc case","quantile",0.99,314775,12 wk,C-2022-02-25
"AT",2022-03-13,2022-06-11,"inc case","point",NA,170130,13 wk,C-2022-02-25
"AT",2022-03-13,2022-06-11,"inc case","quantile",0.01,111845,13 wk,C-2022-02-25
