location,country,age_group,value_flu,value_covid_pessimistic,value_covid_optimistic
AT,Austria,60-69,0.17875819895473435,0.08937909947736718,0.32875819895473435
AT,Austria,70-79,0.17547004786890338,0.08773502393445169,0.3254700478689034
AT,Austria,80+,0.2044223208203747,0.10221116041018735,0.3544223208203747
BE,Belgium,60-69,0.5758609640049572,0.2879304820024786,0.7258609640049573
BE,Belgium,70-79,0.6202364193224423,0.31011820966122117,0.7702364193224424
BE,Belgium,80+,0.581041292379379,0.2905206461896895,0.731041292379379
BG,Bulgaria,60-69,0.07661898610975428,0.03830949305487714,0.22661898610975428
BG,Bulgaria,70-79,0.09419797272963809,0.047098986364819045,0.24419797272963809
BG,Bulgaria,80+,0.06004982917325972,0.03002491458662986,0.2100498291732597
CZ,Czechia,60-69,0.185658784044773,0.0928293920223865,0.335658784044773
CZ,Czechia,70-79,0.2322919397562922,0.1161459698781461,0.38229193975629217
CZ,Czechia,80+,0.21987484003308996,0.10993742001654498,0.36987484003308996
DE,Germany,60-69,0.38833952981635445,0.19416976490817722,0.5383395298163545
DE,Germany,70-79,0.39205359949848917,0.19602679974924458,0.5420535994984892
DE,Germany,80+,0.3819462013055415,0.19097310065277076,0.5319462013055415
DK,Denmark,60-69,0.745758342755668,0.372879171377834,0.895758342755668
DK,Denmark,70-79,0.7750399453320318,0.3875199726660159,0.9250399453320318
DK,Denmark,80+,0.8562739197584415,0.42813695987922074,1
ES,Spain,60-69,0.6448758753095668,0.3224379376547834,0.7948758753095668
ES,Spain,70-79,0.6491179038407663,0.32455895192038314,0.7991179038407663
ES,Spain,80+,0.6437520361232427,0.32187601806162136,0.7937520361232427
EE,Estonia,60-69,0.27304511863572695,0.13652255931786347,0.4230451186357269
EE,Estonia,70-79,0.3279883799561143,0.16399418997805715,0.4779883799561143
EE,Estonia,80+,0.32759356019813757,0.16379678009906878,0.4775935601981376
FI,Finland,60-69,0.46497765170552785,0.23248882585276393,0.6149776517055279
FI,Finland,70-79,0.5339796845623742,0.2669898422811871,0.6839796845623742
FI,Finland,80+,0.51966591469266,0.25983295734633,0.66966591469266
FR,France,60-69,0.5619430826819359,0.28097154134096797,0.711943082681936
