location,scenario_id,sample,horizon,target_variable,age_id,value
NL,A,1,1 wk,inc hosp,adult,17
NL,A,1,2 wk,inc hosp,adult,27
NL,A,1,3 wk,inc hosp,adult,32
NL,A,1,4 wk,inc hosp,adult,32
NL,A,1,5 wk,inc hosp,adult,39
NL,A,1,6 wk,inc hosp,adult,24
NL,A,1,7 wk,inc hosp,adult,34
NL,A,1,8 wk,inc hosp,adult,23
NL,A,1,9 wk,inc hosp,adult,20
NL,A,1,10 wk,inc hosp,adult,22
NL,A,1,11 wk,inc hosp,adult,10
NL,A,1,12 wk,inc hosp,adult,15
NL,A,1,13 wk,inc hosp,adult,19
NL,A,1,14 wk,inc hosp,adult,7
NL,A,1,15 wk,inc hosp,adult,8
NL,A,1,16 wk,inc hosp,adult,7
NL,A,1,17 wk,inc hosp,adult,6
NL,A,1,18 wk,inc hosp,adult,10
NL,A,1,19 wk,inc hosp,adult,7
NL,A,1,20 wk,inc hosp,adult,5
NL,A,1,21 wk,inc hosp,adult,5
NL,A,1,22 wk,inc hosp,adult,12
NL,A,1,23 wk,inc hosp,adult,1
NL,A,1,24 wk,inc hosp,adult,3
NL,A,1,25 wk,inc hosp,adult,2
NL,A,1,26 wk,inc hosp,adult,2
NL,A,1,27 wk,inc hosp,adult,6
NL,A,1,28 wk,inc hosp,adult,4
NL,A,1,29 wk,inc hosp,adult,4
NL,A,1,30 wk,inc hosp,adult,4
NL,A,1,31 wk,inc hosp,adult,3
NL,A,1,32 wk,inc hosp,adult,4
NL,A,1,33 wk,inc hosp,adult,4
NL,A,1,34 wk,inc hosp,adult,6
NL,A,1,35 wk,inc hosp,adult,5
NL,A,1,36 wk,inc hosp,adult,9
NL,A,1,37 wk,inc hosp,adult,2
NL,A,1,38 wk,inc hosp,adult,8
NL,A,1,39 wk,inc hosp,adult,8
NL,A,1,40 wk,inc hosp,adult,5
NL,A,1,41 wk,inc hosp,adult,11
NL,A,1,42 wk,inc hosp,adult,15
NL,A,1,43 wk,inc hosp,adult,9
NL,A,1,44 wk,inc hosp,adult,10
NL,A,1,45 wk,inc hosp,adult,18
NL,A,1,46 wk,inc hosp,adult,19
NL,A,1,47 wk,inc hosp,adult,10
NL,A,1,48 wk,inc hosp,adult,24
NL,A,1,49 wk,inc hosp,adult,19
NL,A,1,50 wk,inc hosp,adult,16
NL,A,1,51 wk,inc hosp,adult,20
NL,A,1,52 wk,inc hosp,adult,30
NL,A,1,53 wk,inc hosp,adult,6
NL,A,2,1 wk,inc hosp,adult,16
NL,A,2,2 wk,inc hosp,adult,23
NL,A,2,3 wk,inc hosp,adult,20
NL,A,2,4 wk,inc hosp,adult,29
NL,A,2,5 wk,inc hosp,adult,17
NL,A,2,6 wk,inc hosp,adult,17
NL,A,2,7 wk,inc hosp,adult,15
NL,A,2,8 wk,inc hosp,adult,18
NL,A,2,9 wk,inc hosp,adult,14
NL,A,2,10 wk,inc hosp,adult,17
NL,A,2,11 wk,inc hosp,adult,16
NL,A,2,12 wk,inc hosp,adult,9
NL,A,2,13 wk,inc hosp,adult,8
NL,A,2,14 wk,inc hosp,adult,5
NL,A,2,15 wk,inc hosp,adult,4
NL,A,2,16 wk,inc hosp,adult,5
NL,A,2,17 wk,inc hosp,adult,6
NL,A,2,18 wk,inc hosp,adult,7
NL,A,2,19 wk,inc hosp,adult,2
NL,A,2,20 wk,inc hosp,adult,4
NL,A,2,21 wk,inc hosp,adult,2
NL,A,2,22 wk,inc hosp,adult,2
NL,A,2,23 wk,inc hosp,adult,4
NL,A,2,24 wk,inc hosp,adult,3
NL,A,2,25 wk,inc hosp,adult,3
NL,A,2,26 wk,inc hosp,adult,2
NL,A,2,27 wk,inc hosp,adult,3
NL,A,2,28 wk,inc hosp,adult,1
NL,A,2,29 wk,inc hosp,adult,2
NL,A,2,30 wk,inc hosp,adult,1
NL,A,2,31 wk,inc hosp,adult,4
NL,A,2,32 wk,inc hosp,adult,3
NL,A,2,33 wk,inc hosp,adult,2
NL,A,2,34 wk,inc hosp,adult,5
NL,A,2,35 wk,inc hosp,adult,6
NL,A,2,36 wk,inc hosp,adult,3
NL,A,2,37 wk,inc hosp,adult,2
NL,A,2,38 wk,inc hosp,adult,5
NL,A,2,39 wk,inc hosp,adult,9
NL,A,2,40 wk,inc hosp,adult,8
NL,A,2,41 wk,inc hosp,adult,8
NL,A,2,42 wk,inc hosp,adult,6
NL,A,2,43 wk,inc hosp,adult,6
NL,A,2,44 wk,inc hosp,adult,7
NL,A,2,45 wk,inc hosp,adult,9
NL,A,2,46 wk,inc hosp,adult,9
NL,A,2,47 wk,inc hosp,adult,10
NL,A,2,48 wk,inc hosp,adult,10
NL,A,2,49 wk,inc hosp,adult,17
NL,A,2,50 wk,inc hosp,adult,18
NL,A,2,51 wk,inc hosp,adult,20
NL,A,2,52 wk,inc hosp,adult,27
NL,A,2,53 wk,inc hosp,adult,5
NL,A,3,1 wk,inc hosp,adult,39
NL,A,3,2 wk,inc hosp,adult,27
NL,A,3,3 wk,inc hosp,adult,31
NL,A,3,4 wk,inc hosp,adult,33
NL,A,3,5 wk,inc hosp,adult,33
NL,A,3,6 wk,inc hosp,adult,32
NL,A,3,7 wk,inc hosp,adult,26
NL,A,3,8 wk,inc hosp,adult,20
NL,A,3,9 wk,inc hosp,adult,29
NL,A,3,10 wk,inc hosp,adult,18
NL,A,3,11 wk,inc hosp,adult,14
