location,scenario_id,sample,horizon,target_variable,age_id,value
PL,A,1,1 wk,inc death,adult,0
PL,A,1,2 wk,inc death,adult,0
PL,A,1,3 wk,inc death,adult,0
PL,A,1,4 wk,inc death,adult,0
PL,A,1,5 wk,inc death,adult,0
PL,A,1,6 wk,inc death,adult,0
PL,A,1,7 wk,inc death,adult,2
PL,A,1,8 wk,inc death,adult,0
PL,A,1,9 wk,inc death,adult,0
PL,A,1,10 wk,inc death,adult,0
PL,A,1,11 wk,inc death,adult,0
PL,A,1,12 wk,inc death,adult,0
PL,A,1,13 wk,inc death,adult,0
PL,A,1,14 wk,inc death,adult,0
PL,A,1,15 wk,inc death,adult,0
PL,A,1,16 wk,inc death,adult,0
PL,A,1,17 wk,inc death,adult,0
PL,A,1,18 wk,inc death,adult,0
PL,A,1,19 wk,inc death,adult,1
PL,A,1,20 wk,inc death,adult,0
PL,A,1,21 wk,inc death,adult,0
PL,A,1,22 wk,inc death,adult,0
PL,A,1,23 wk,inc death,adult,0
PL,A,1,24 wk,inc death,adult,1
PL,A,1,25 wk,inc death,adult,0
PL,A,1,26 wk,inc death,adult,0
PL,A,1,27 wk,inc death,adult,0
PL,A,1,28 wk,inc death,adult,0
PL,A,1,29 wk,inc death,adult,0
PL,A,1,30 wk,inc death,adult,0
PL,A,1,31 wk,inc death,adult,1
PL,A,1,32 wk,inc death,adult,0
PL,A,1,33 wk,inc death,adult,1
PL,A,1,34 wk,inc death,adult,0
PL,A,1,35 wk,inc death,adult,0
PL,A,1,36 wk,inc death,adult,0
PL,A,1,37 wk,inc death,adult,0
PL,A,1,38 wk,inc death,adult,0
PL,A,1,39 wk,inc death,adult,0
PL,A,1,40 wk,inc death,adult,0
PL,A,1,41 wk,inc death,adult,0
PL,A,1,42 wk,inc death,adult,0
PL,A,1,43 wk,inc death,adult,0
PL,A,1,44 wk,inc death,adult,0
PL,A,1,45 wk,inc death,adult,0
PL,A,1,46 wk,inc death,adult,0
PL,A,1,47 wk,inc death,adult,0
PL,A,1,48 wk,inc death,adult,0
PL,A,1,49 wk,inc death,adult,0
PL,A,1,50 wk,inc death,adult,1
PL,A,1,51 wk,inc death,adult,0
PL,A,1,52 wk,inc death,adult,0
PL,A,1,53 wk,inc death,adult,0
PL,A,2,1 wk,inc death,adult,0
PL,A,2,2 wk,inc death,adult,0
PL,A,2,3 wk,inc death,adult,0
PL,A,2,4 wk,inc death,adult,1
PL,A,2,5 wk,inc death,adult,0
PL,A,2,6 wk,inc death,adult,0
PL,A,2,7 wk,inc death,adult,0
PL,A,2,8 wk,inc death,adult,0
PL,A,2,9 wk,inc death,adult,0
PL,A,2,10 wk,inc death,adult,0
PL,A,2,11 wk,inc death,adult,0
PL,A,2,12 wk,inc death,adult,0
PL,A,2,13 wk,inc death,adult,0
PL,A,2,14 wk,inc death,adult,0
PL,A,2,15 wk,inc death,adult,0
PL,A,2,16 wk,inc death,adult,0
PL,A,2,17 wk,inc death,adult,0
PL,A,2,18 wk,inc death,adult,0
PL,A,2,19 wk,inc death,adult,0
PL,A,2,20 wk,inc death,adult,0
PL,A,2,21 wk,inc death,adult,0
PL,A,2,22 wk,inc death,adult,0
PL,A,2,23 wk,inc death,adult,0
PL,A,2,24 wk,inc death,adult,0
PL,A,2,25 wk,inc death,adult,0
PL,A,2,26 wk,inc death,adult,0
PL,A,2,27 wk,inc death,adult,0
PL,A,2,28 wk,inc death,adult,0
PL,A,2,29 wk,inc death,adult,0
PL,A,2,30 wk,inc death,adult,0
PL,A,2,31 wk,inc death,adult,0
PL,A,2,32 wk,inc death,adult,0
PL,A,2,33 wk,inc death,adult,0
PL,A,2,34 wk,inc death,adult,0
PL,A,2,35 wk,inc death,adult,0
PL,A,2,36 wk,inc death,adult,0
PL,A,2,37 wk,inc death,adult,0
PL,A,2,38 wk,inc death,adult,0
PL,A,2,39 wk,inc death,adult,0
PL,A,2,40 wk,inc death,adult,0
PL,A,2,41 wk,inc death,adult,0
PL,A,2,42 wk,inc death,adult,1
PL,A,2,43 wk,inc death,adult,0
PL,A,2,44 wk,inc death,adult,0
PL,A,2,45 wk,inc death,adult,0
PL,A,2,46 wk,inc death,adult,0
PL,A,2,47 wk,inc death,adult,0
PL,A,2,48 wk,inc death,adult,0
PL,A,2,49 wk,inc death,adult,0
PL,A,2,50 wk,inc death,adult,0
PL,A,2,51 wk,inc death,adult,0
PL,A,2,52 wk,inc death,adult,0
PL,A,2,53 wk,inc death,adult,0
PL,A,3,1 wk,inc death,adult,0
PL,A,3,2 wk,inc death,adult,1
PL,A,3,3 wk,inc death,adult,0
PL,A,3,4 wk,inc death,adult,0
PL,A,3,5 wk,inc death,adult,1
PL,A,3,6 wk,inc death,adult,0
PL,A,3,7 wk,inc death,adult,0
PL,A,3,8 wk,inc death,adult,0
PL,A,3,9 wk,inc death,adult,0
PL,A,3,10 wk,inc death,adult,0
PL,A,3,11 wk,inc death,adult,0
PL,A,3,12 wk,inc death,adult,0
PL,A,3,13 wk,inc death,adult,0
PL,A,3,14 wk,inc death,adult,0
PL,A,3,15 wk,inc death,adult,0
PL,A,3,16 wk,inc death,adult,0
PL,A,3,17 wk,inc death,adult,0
PL,A,3,18 wk,inc death,adult,0
PL,A,3,19 wk,inc death,adult,0
PL,A,3,20 wk,inc death,adult,0
PL,A,3,21 wk,inc death,adult,0
PL,A,3,22 wk,inc death,adult,0
PL,A,3,23 wk,inc death,adult,0
PL,A,3,24 wk,inc death,adult,0
PL,A,3,25 wk,inc death,adult,0
PL,A,3,26 wk,inc death,adult,0
PL,A,3,27 wk,inc death,adult,0
PL,A,3,28 wk,inc death,adult,0
PL,A,3,29 wk,inc death,adult,0
PL,A,3,30 wk,inc death,adult,0
PL,A,3,31 wk,inc death,adult,0
PL,A,3,32 wk,inc death,adult,0
PL,A,3,33 wk,inc death,adult,0
PL,A,3,34 wk,inc death,adult,0
PL,A,3,35 wk,inc death,adult,0
PL,A,3,36 wk,inc death,adult,0
PL,A,3,37 wk,inc death,adult,0
PL,A,3,38 wk,inc death,adult,0
PL,A,3,39 wk,inc death,adult,0
PL,A,3,40 wk,inc death,adult,0
PL,A,3,41 wk,inc death,adult,0
PL,A,3,42 wk,inc death,adult,0
PL,A,3,43 wk,inc death,adult,0
PL,A,3,44 wk,inc death,adult,0
PL,A,3,45 wk,inc death,adult,0
PL,A,3,46 wk,inc death,adult,1
PL,A,3,47 wk,inc death,adult,1
PL,A,3,48 wk,inc death,adult,1
PL,A,3,49 wk,inc death,adult,0
PL,A,3,50 wk,inc death,adult,0
PL,A,3,51 wk,inc death,adult,0
PL,A,3,52 wk,inc death,adult,0
PL,A,3,53 wk,inc death,adult,0
PL,A,4,1 wk,inc death,adult,0
PL,A,4,2 wk,inc death,adult,0
PL,A,4,3 wk,inc death,adult,0
PL,A,4,4 wk,inc death,adult,0
PL,A,4,5 wk,inc death,adult,0
PL,A,4,6 wk,inc death,adult,0
PL,A,4,7 wk,inc death,adult,1
PL,A,4,8 wk,inc death,adult,0
PL,A,4,9 wk,inc death,adult,0
PL,A,4,10 wk,inc death,adult,0
PL,A,4,11 wk,inc death,adult,1
PL,A,4,12 wk,inc death,adult,0
PL,A,4,13 wk,inc death,adult,0
PL,A,4,14 wk,inc death,adult,0
PL,A,4,15 wk,inc death,adult,0
PL,A,4,16 wk,inc death,adult,0
PL,A,4,17 wk,inc death,adult,0
PL,A,4,18 wk,inc death,adult,0
PL,A,4,19 wk,inc death,adult,0
PL,A,4,20 wk,inc death,adult,0
PL,A,4,21 wk,inc death,adult,0
PL,A,4,22 wk,inc death,adult,0
PL,A,4,23 wk,inc death,adult,0
PL,A,4,24 wk,inc death,adult,0
PL,A,4,25 wk,inc death,adult,0
PL,A,4,26 wk,inc death,adult,0
PL,A,4,27 wk,inc death,adult,0
PL,A,4,28 wk,inc death,adult,0
PL,A,4,29 wk,inc death,adult,0
PL,A,4,30 wk,inc death,adult,0
PL,A,4,31 wk,inc death,adult,0
PL,A,4,32 wk,inc death,adult,0
PL,A,4,33 wk,inc death,adult,0
PL,A,4,34 wk,inc death,adult,0
PL,A,4,35 wk,inc death,adult,0
PL,A,4,36 wk,inc death,adult,1
PL,A,4,37 wk,inc death,adult,0
PL,A,4,38 wk,inc death,adult,0
PL,A,4,39 wk,inc death,adult,0
PL,A,4,40 wk,inc death,adult,0
PL,A,4,41 wk,inc death,adult,0
PL,A,4,42 wk,inc death,adult,0
PL,A,4,43 wk,inc death,adult,0
PL,A,4,44 wk,inc death,adult,0
PL,A,4,45 wk,inc death,adult,0
PL,A,4,46 wk,inc death,adult,0
PL,A,4,47 wk,inc death,adult,0
PL,A,4,48 wk,inc death,adult,0
PL,A,4,49 wk,inc death,adult,0
PL,A,4,50 wk,inc death,adult,0
PL,A,4,51 wk,inc death,adult,0
PL,A,4,52 wk,inc death,adult,0
PL,A,4,53 wk,inc death,adult,0
PL,A,5,1 wk,inc death,adult,0
PL,A,5,2 wk,inc death,adult,0
PL,A,5,3 wk,inc death,adult,1
PL,A,5,4 wk,inc death,adult,0
PL,A,5,5 wk,inc death,adult,0
PL,A,5,6 wk,inc death,adult,0
PL,A,5,7 wk,inc death,adult,0
PL,A,5,8 wk,inc death,adult,0
PL,A,5,9 wk,inc death,adult,0
PL,A,5,10 wk,inc death,adult,0
PL,A,5,11 wk,inc death,adult,0
PL,A,5,12 wk,inc death,adult,0
PL,A,5,13 wk,inc death,adult,0
PL,A,5,14 wk,inc death,adult,0
PL,A,5,15 wk,inc death,adult,1
PL,A,5,16 wk,inc death,adult,0
PL,A,5,17 wk,inc death,adult,0
PL,A,5,18 wk,inc death,adult,0
PL,A,5,19 wk,inc death,adult,0
PL,A,5,20 wk,inc death,adult,0
PL,A,5,21 wk,inc death,adult,0
PL,A,5,22 wk,inc death,adult,0
PL,A,5,23 wk,inc death,adult,0
PL,A,5,24 wk,inc death,adult,0
PL,A,5,25 wk,inc death,adult,0
PL,A,5,26 wk,inc death,adult,0
PL,A,5,27 wk,inc death,adult,0
PL,A,5,28 wk,inc death,adult,1
