location,scenario_id,sample,horizon,target_variable,age_id,value
LV,A,1,1 wk,inc hosp,adult,102
LV,A,1,2 wk,inc hosp,adult,100
LV,A,1,3 wk,inc hosp,adult,98
LV,A,1,4 wk,inc hosp,adult,89
LV,A,1,5 wk,inc hosp,adult,80
LV,A,1,6 wk,inc hosp,adult,55
LV,A,1,7 wk,inc hosp,adult,58
LV,A,1,8 wk,inc hosp,adult,46
LV,A,1,9 wk,inc hosp,adult,27
LV,A,1,10 wk,inc hosp,adult,31
LV,A,1,11 wk,inc hosp,adult,29
LV,A,1,12 wk,inc hosp,adult,14
LV,A,1,13 wk,inc hosp,adult,22
LV,A,1,14 wk,inc hosp,adult,12
LV,A,1,15 wk,inc hosp,adult,7
LV,A,1,16 wk,inc hosp,adult,11
LV,A,1,17 wk,inc hosp,adult,9
LV,A,1,18 wk,inc hosp,adult,5
LV,A,1,19 wk,inc hosp,adult,4
LV,A,1,20 wk,inc hosp,adult,8
LV,A,1,21 wk,inc hosp,adult,4
LV,A,1,22 wk,inc hosp,adult,3
LV,A,1,23 wk,inc hosp,adult,7
LV,A,1,24 wk,inc hosp,adult,1
LV,A,1,25 wk,inc hosp,adult,4
LV,A,1,26 wk,inc hosp,adult,7
LV,A,1,27 wk,inc hosp,adult,7
LV,A,1,28 wk,inc hosp,adult,1
LV,A,1,29 wk,inc hosp,adult,2
LV,A,1,30 wk,inc hosp,adult,6
LV,A,1,31 wk,inc hosp,adult,6
LV,A,1,32 wk,inc hosp,adult,5
LV,A,1,33 wk,inc hosp,adult,6
LV,A,1,34 wk,inc hosp,adult,6
LV,A,1,35 wk,inc hosp,adult,4
LV,A,1,36 wk,inc hosp,adult,5
LV,A,1,37 wk,inc hosp,adult,17
LV,A,1,38 wk,inc hosp,adult,6
LV,A,1,39 wk,inc hosp,adult,12
LV,A,1,40 wk,inc hosp,adult,17
LV,A,1,41 wk,inc hosp,adult,16
LV,A,1,42 wk,inc hosp,adult,24
LV,A,1,43 wk,inc hosp,adult,17
LV,A,1,44 wk,inc hosp,adult,15
LV,A,1,45 wk,inc hosp,adult,22
LV,A,1,46 wk,inc hosp,adult,33
LV,A,1,47 wk,inc hosp,adult,26
LV,A,1,48 wk,inc hosp,adult,47
LV,A,1,49 wk,inc hosp,adult,50
LV,A,1,50 wk,inc hosp,adult,59
LV,A,1,51 wk,inc hosp,adult,70
LV,A,1,52 wk,inc hosp,adult,76
LV,A,1,53 wk,inc hosp,adult,12
LV,A,2,1 wk,inc hosp,adult,83
LV,A,2,2 wk,inc hosp,adult,78
LV,A,2,3 wk,inc hosp,adult,84
LV,A,2,4 wk,inc hosp,adult,65
LV,A,2,5 wk,inc hosp,adult,73
LV,A,2,6 wk,inc hosp,adult,61
LV,A,2,7 wk,inc hosp,adult,44
LV,A,2,8 wk,inc hosp,adult,32
LV,A,2,9 wk,inc hosp,adult,22
LV,A,2,10 wk,inc hosp,adult,27
LV,A,2,11 wk,inc hosp,adult,14
LV,A,2,12 wk,inc hosp,adult,11
LV,A,2,13 wk,inc hosp,adult,14
LV,A,2,14 wk,inc hosp,adult,11
LV,A,2,15 wk,inc hosp,adult,4
LV,A,2,16 wk,inc hosp,adult,7
LV,A,2,17 wk,inc hosp,adult,0
LV,A,2,18 wk,inc hosp,adult,8
LV,A,2,19 wk,inc hosp,adult,3
LV,A,2,20 wk,inc hosp,adult,1
LV,A,2,21 wk,inc hosp,adult,1
LV,A,2,22 wk,inc hosp,adult,4
LV,A,2,23 wk,inc hosp,adult,1
LV,A,2,24 wk,inc hosp,adult,4
LV,A,2,25 wk,inc hosp,adult,3
LV,A,2,26 wk,inc hosp,adult,6
LV,A,2,27 wk,inc hosp,adult,3
LV,A,2,28 wk,inc hosp,adult,4
LV,A,2,29 wk,inc hosp,adult,3
LV,A,2,30 wk,inc hosp,adult,3
LV,A,2,31 wk,inc hosp,adult,4
LV,A,2,32 wk,inc hosp,adult,3
LV,A,2,33 wk,inc hosp,adult,5
LV,A,2,34 wk,inc hosp,adult,1
LV,A,2,35 wk,inc hosp,adult,5
LV,A,2,36 wk,inc hosp,adult,1
LV,A,2,37 wk,inc hosp,adult,7
LV,A,2,38 wk,inc hosp,adult,4
LV,A,2,39 wk,inc hosp,adult,5
LV,A,2,40 wk,inc hosp,adult,6
LV,A,2,41 wk,inc hosp,adult,6
LV,A,2,42 wk,inc hosp,adult,2
LV,A,2,43 wk,inc hosp,adult,11
LV,A,2,44 wk,inc hosp,adult,15
LV,A,2,45 wk,inc hosp,adult,21
LV,A,2,46 wk,inc hosp,adult,21
LV,A,2,47 wk,inc hosp,adult,31
LV,A,2,48 wk,inc hosp,adult,26
LV,A,2,49 wk,inc hosp,adult,34
LV,A,2,50 wk,inc hosp,adult,53
LV,A,2,51 wk,inc hosp,adult,60
LV,A,2,52 wk,inc hosp,adult,64
LV,A,2,53 wk,inc hosp,adult,11
LV,A,3,1 wk,inc hosp,adult,97
LV,A,3,2 wk,inc hosp,adult,81
LV,A,3,3 wk,inc hosp,adult,89
LV,A,3,4 wk,inc hosp,adult,80
LV,A,3,5 wk,inc hosp,adult,87
LV,A,3,6 wk,inc hosp,adult,73
LV,A,3,7 wk,inc hosp,adult,70
LV,A,3,8 wk,inc hosp,adult,53
LV,A,3,9 wk,inc hosp,adult,44
LV,A,3,10 wk,inc hosp,adult,36
LV,A,3,11 wk,inc hosp,adult,23
LV,A,3,12 wk,inc hosp,adult,18
LV,A,3,13 wk,inc hosp,adult,18
LV,A,3,14 wk,inc hosp,adult,10
LV,A,3,15 wk,inc hosp,adult,9
LV,A,3,16 wk,inc hosp,adult,8
LV,A,3,17 wk,inc hosp,adult,4
LV,A,3,18 wk,inc hosp,adult,8
LV,A,3,19 wk,inc hosp,adult,5
LV,A,3,20 wk,inc hosp,adult,3
LV,A,3,21 wk,inc hosp,adult,4
LV,A,3,22 wk,inc hosp,adult,4
LV,A,3,23 wk,inc hosp,adult,1
LV,A,3,24 wk,inc hosp,adult,4
LV,A,3,25 wk,inc hosp,adult,4
LV,A,3,26 wk,inc hosp,adult,3
LV,A,3,27 wk,inc hosp,adult,3
LV,A,3,28 wk,inc hosp,adult,6
LV,A,3,29 wk,inc hosp,adult,3
LV,A,3,30 wk,inc hosp,adult,1
LV,A,3,31 wk,inc hosp,adult,7
LV,A,3,32 wk,inc hosp,adult,5
LV,A,3,33 wk,inc hosp,adult,3
LV,A,3,34 wk,inc hosp,adult,7
LV,A,3,35 wk,inc hosp,adult,5
LV,A,3,36 wk,inc hosp,adult,4
LV,A,3,37 wk,inc hosp,adult,5
LV,A,3,38 wk,inc hosp,adult,11
LV,A,3,39 wk,inc hosp,adult,14
LV,A,3,40 wk,inc hosp,adult,10
LV,A,3,41 wk,inc hosp,adult,16
LV,A,3,42 wk,inc hosp,adult,11
LV,A,3,43 wk,inc hosp,adult,25
LV,A,3,44 wk,inc hosp,adult,22
LV,A,3,45 wk,inc hosp,adult,27
LV,A,3,46 wk,inc hosp,adult,30
LV,A,3,47 wk,inc hosp,adult,35
LV,A,3,48 wk,inc hosp,adult,50
LV,A,3,49 wk,inc hosp,adult,58
LV,A,3,50 wk,inc hosp,adult,70
LV,A,3,51 wk,inc hosp,adult,88
LV,A,3,52 wk,inc hosp,adult,86
LV,A,3,53 wk,inc hosp,adult,15
LV,A,4,1 wk,inc hosp,adult,73
LV,A,4,2 wk,inc hosp,adult,55
LV,A,4,3 wk,inc hosp,adult,49
LV,A,4,4 wk,inc hosp,adult,55
LV,A,4,5 wk,inc hosp,adult,51
LV,A,4,6 wk,inc hosp,adult,50
LV,A,4,7 wk,inc hosp,adult,48
LV,A,4,8 wk,inc hosp,adult,24
LV,A,4,9 wk,inc hosp,adult,14
LV,A,4,10 wk,inc hosp,adult,14
LV,A,4,11 wk,inc hosp,adult,12
LV,A,4,12 wk,inc hosp,adult,8
LV,A,4,13 wk,inc hosp,adult,5
LV,A,4,14 wk,inc hosp,adult,2
LV,A,4,15 wk,inc hosp,adult,10
LV,A,4,16 wk,inc hosp,adult,6
LV,A,4,17 wk,inc hosp,adult,5
LV,A,4,18 wk,inc hosp,adult,4
LV,A,4,19 wk,inc hosp,adult,3
LV,A,4,20 wk,inc hosp,adult,3
LV,A,4,21 wk,inc hosp,adult,1
LV,A,4,22 wk,inc hosp,adult,5
LV,A,4,23 wk,inc hosp,adult,1
LV,A,4,24 wk,inc hosp,adult,1
LV,A,4,25 wk,inc hosp,adult,2
LV,A,4,26 wk,inc hosp,adult,0
LV,A,4,27 wk,inc hosp,adult,1
LV,A,4,28 wk,inc hosp,adult,1
LV,A,4,29 wk,inc hosp,adult,2
LV,A,4,30 wk,inc hosp,adult,3
LV,A,4,31 wk,inc hosp,adult,2
LV,A,4,32 wk,inc hosp,adult,0
LV,A,4,33 wk,inc hosp,adult,4
LV,A,4,34 wk,inc hosp,adult,7
LV,A,4,35 wk,inc hosp,adult,3
LV,A,4,36 wk,inc hosp,adult,7
LV,A,4,37 wk,inc hosp,adult,0
LV,A,4,38 wk,inc hosp,adult,1
LV,A,4,39 wk,inc hosp,adult,8
LV,A,4,40 wk,inc hosp,adult,13
LV,A,4,41 wk,inc hosp,adult,6
LV,A,4,42 wk,inc hosp,adult,10
LV,A,4,43 wk,inc hosp,adult,9
LV,A,4,44 wk,inc hosp,adult,15
LV,A,4,45 wk,inc hosp,adult,12
LV,A,4,46 wk,inc hosp,adult,14
LV,A,4,47 wk,inc hosp,adult,23
LV,A,4,48 wk,inc hosp,adult,22
LV,A,4,49 wk,inc hosp,adult,30
LV,A,4,50 wk,inc hosp,adult,42
LV,A,4,51 wk,inc hosp,adult,46
LV,A,4,52 wk,inc hosp,adult,59
LV,A,4,53 wk,inc hosp,adult,7
LV,A,5,1 wk,inc hosp,adult,105
LV,A,5,2 wk,inc hosp,adult,114
LV,A,5,3 wk,inc hosp,adult,86
LV,A,5,4 wk,inc hosp,adult,82
LV,A,5,5 wk,inc hosp,adult,79
LV,A,5,6 wk,inc hosp,adult,84
LV,A,5,7 wk,inc hosp,adult,49
LV,A,5,8 wk,inc hosp,adult,53
LV,A,5,9 wk,inc hosp,adult,30
LV,A,5,10 wk,inc hosp,adult,23
LV,A,5,11 wk,inc hosp,adult,19
LV,A,5,12 wk,inc hosp,adult,19
LV,A,5,13 wk,inc hosp,adult,17
LV,A,5,14 wk,inc hosp,adult,13
LV,A,5,15 wk,inc hosp,adult,6
LV,A,5,16 wk,inc hosp,adult,9
LV,A,5,17 wk,inc hosp,adult,4
LV,A,5,18 wk,inc hosp,adult,4
LV,A,5,19 wk,inc hosp,adult,4
LV,A,5,20 wk,inc hosp,adult,4
LV,A,5,21 wk,inc hosp,adult,6
LV,A,5,22 wk,inc hosp,adult,6
LV,A,5,23 wk,inc hosp,adult,3
LV,A,5,24 wk,inc hosp,adult,5
LV,A,5,25 wk,inc hosp,adult,2
LV,A,5,26 wk,inc hosp,adult,3
LV,A,5,27 wk,inc hosp,adult,0
LV,A,5,28 wk,inc hosp,adult,3
LV,A,5,29 wk,inc hosp,adult,3
LV,A,5,30 wk,inc hosp,adult,1
LV,A,5,31 wk,inc hosp,adult,6
LV,A,5,32 wk,inc hosp,adult,2
LV,A,5,33 wk,inc hosp,adult,4
LV,A,5,34 wk,inc hosp,adult,8
LV,A,5,35 wk,inc hosp,adult,5
LV,A,5,36 wk,inc hosp,adult,7
LV,A,5,37 wk,inc hosp,adult,10
LV,A,5,38 wk,inc hosp,adult,9
LV,A,5,39 wk,inc hosp,adult,7
LV,A,5,40 wk,inc hosp,adult,12
LV,A,5,41 wk,inc hosp,adult,9
LV,A,5,42 wk,inc hosp,adult,16
LV,A,5,43 wk,inc hosp,adult,10
LV,A,5,44 wk,inc hosp,adult,30
LV,A,5,45 wk,inc hosp,adult,27
LV,A,5,46 wk,inc hosp,adult,30
LV,A,5,47 wk,inc hosp,adult,30
LV,A,5,48 wk,inc hosp,adult,52
LV,A,5,49 wk,inc hosp,adult,52
LV,A,5,50 wk,inc hosp,adult,70
LV,A,5,51 wk,inc hosp,adult,78
LV,A,5,52 wk,inc hosp,adult,86
LV,A,5,53 wk,inc hosp,adult,12
LV,A,6,1 wk,inc hosp,adult,155
LV,A,6,2 wk,inc hosp,adult,149
LV,A,6,3 wk,inc hosp,adult,141
LV,A,6,4 wk,inc hosp,adult,124
LV,A,6,5 wk,inc hosp,adult,143
LV,A,6,6 wk,inc hosp,adult,103
LV,A,6,7 wk,inc hosp,adult,95
LV,A,6,8 wk,inc hosp,adult,81
LV,A,6,9 wk,inc hosp,adult,60
LV,A,6,10 wk,inc hosp,adult,53
LV,A,6,11 wk,inc hosp,adult,28
LV,A,6,12 wk,inc hosp,adult,30
LV,A,6,13 wk,inc hosp,adult,22
LV,A,6,14 wk,inc hosp,adult,19
LV,A,6,15 wk,inc hosp,adult,14
LV,A,6,16 wk,inc hosp,adult,7
LV,A,6,17 wk,inc hosp,adult,8
LV,A,6,18 wk,inc hosp,adult,3
LV,A,6,19 wk,inc hosp,adult,13
LV,A,6,20 wk,inc hosp,adult,3
LV,A,6,21 wk,inc hosp,adult,2
LV,A,6,22 wk,inc hosp,adult,7
LV,A,6,23 wk,inc hosp,adult,4
LV,A,6,24 wk,inc hosp,adult,11
LV,A,6,25 wk,inc hosp,adult,6
LV,A,6,26 wk,inc hosp,adult,7
LV,A,6,27 wk,inc hosp,adult,1
LV,A,6,28 wk,inc hosp,adult,5
LV,A,6,29 wk,inc hosp,adult,7
LV,A,6,30 wk,inc hosp,adult,6
LV,A,6,31 wk,inc hosp,adult,11
LV,A,6,32 wk,inc hosp,adult,7
LV,A,6,33 wk,inc hosp,adult,7
LV,A,6,34 wk,inc hosp,adult,3
LV,A,6,35 wk,inc hosp,adult,6
LV,A,6,36 wk,inc hosp,adult,16
LV,A,6,37 wk,inc hosp,adult,9
LV,A,6,38 wk,inc hosp,adult,13
LV,A,6,39 wk,inc hosp,adult,12
LV,A,6,40 wk,inc hosp,adult,18
LV,A,6,41 wk,inc hosp,adult,20
LV,A,6,42 wk,inc hosp,adult,26
LV,A,6,43 wk,inc hosp,adult,29
LV,A,6,44 wk,inc hosp,adult,33
LV,A,6,45 wk,inc hosp,adult,50
LV,A,6,46 wk,inc hosp,adult,63
LV,A,6,47 wk,inc hosp,adult,61
LV,A,6,48 wk,inc hosp,adult,60
LV,A,6,49 wk,inc hosp,adult,73
LV,A,6,50 wk,inc hosp,adult,116
LV,A,6,51 wk,inc hosp,adult,112
LV,A,6,52 wk,inc hosp,adult,153
LV,A,6,53 wk,inc hosp,adult,28
LV,A,7,1 wk,inc hosp,adult,168
LV,A,7,2 wk,inc hosp,adult,150
LV,A,7,3 wk,inc hosp,adult,143
LV,A,7,4 wk,inc hosp,adult,133
LV,A,7,5 wk,inc hosp,adult,109
LV,A,7,6 wk,inc hosp,adult,96
LV,A,7,7 wk,inc hosp,adult,94
LV,A,7,8 wk,inc hosp,adult,66
LV,A,7,9 wk,inc hosp,adult,62
LV,A,7,10 wk,inc hosp,adult,54
LV,A,7,11 wk,inc hosp,adult,34
LV,A,7,12 wk,inc hosp,adult,31
LV,A,7,13 wk,inc hosp,adult,28
LV,A,7,14 wk,inc hosp,adult,16
LV,A,7,15 wk,inc hosp,adult,19
LV,A,7,16 wk,inc hosp,adult,16
LV,A,7,17 wk,inc hosp,adult,11
LV,A,7,18 wk,inc hosp,adult,3
LV,A,7,19 wk,inc hosp,adult,5
LV,A,7,20 wk,inc hosp,adult,7
LV,A,7,21 wk,inc hosp,adult,6
LV,A,7,22 wk,inc hosp,adult,7
LV,A,7,23 wk,inc hosp,adult,6
