location,scenario_id,horizon,target_variable,sample,value
BE,C,1 wk,inc infection,1,177459
BE,C,2 wk,inc infection,1,191224
BE,C,3 wk,inc infection,1,208878
BE,C,4 wk,inc infection,1,225346
BE,C,5 wk,inc infection,1,237910
BE,C,6 wk,inc infection,1,242948
BE,C,7 wk,inc infection,1,196186
BE,C,8 wk,inc infection,1,144994
BE,C,9 wk,inc infection,1,115008
BE,C,10 wk,inc infection,1,97483
BE,C,11 wk,inc infection,1,88707
BE,C,12 wk,inc infection,1,84950
BE,C,13 wk,inc infection,1,85573
BE,C,14 wk,inc infection,1,92661
BE,C,15 wk,inc infection,1,104561
BE,C,16 wk,inc infection,1,171750
BE,C,17 wk,inc infection,1,296079
BE,C,18 wk,inc infection,1,427030
BE,C,19 wk,inc infection,1,471923
BE,C,20 wk,inc infection,1,414637
BE,C,21 wk,inc infection,1,321750
BE,C,22 wk,inc infection,1,240496
BE,C,23 wk,inc infection,1,185380
BE,C,24 wk,inc infection,1,152490
BE,C,25 wk,inc infection,1,135012
BE,C,26 wk,inc infection,1,131248
BE,C,27 wk,inc infection,1,135968
BE,C,28 wk,inc infection,1,149528
BE,C,29 wk,inc infection,1,172691
BE,C,30 wk,inc infection,1,201132
BE,C,31 wk,inc infection,1,227677
BE,C,32 wk,inc infection,1,250416
BE,C,33 wk,inc infection,1,260473
BE,C,34 wk,inc infection,1,257993
BE,C,35 wk,inc infection,1,244470
BE,C,36 wk,inc infection,1,228024
BE,C,37 wk,inc infection,1,211827
BE,C,38 wk,inc infection,1,199662
BE,C,39 wk,inc infection,1,192874
BE,C,40 wk,inc infection,1,189287
BE,C,41 wk,inc infection,1,189461
BE,C,42 wk,inc infection,1,193812
BE,C,43 wk,inc infection,1,199981
BE,C,44 wk,inc infection,1,207013
BE,C,45 wk,inc infection,1,213500
BE,C,46 wk,inc infection,1,219104
BE,C,47 wk,inc infection,1,220986
BE,C,48 wk,inc infection,1,222287
BE,C,49 wk,inc infection,1,219452
BE,C,50 wk,inc infection,1,216563
BE,C,51 wk,inc infection,1,214071
BE,C,52 wk,inc infection,1,211258
BE,C,1 wk,inc infection,2,172819
BE,C,2 wk,inc infection,2,188702
BE,C,3 wk,inc infection,2,202860
BE,C,4 wk,inc infection,2,213867
BE,C,5 wk,inc infection,2,218039
BE,C,6 wk,inc infection,2,218240
BE,C,7 wk,inc infection,2,292219
BE,C,8 wk,inc infection,2,406401
BE,C,9 wk,inc infection,2,458827
BE,C,10 wk,inc infection,2,418711
BE,C,11 wk,inc infection,2,340975
BE,C,12 wk,inc infection,2,273221
