location,scenario_id,horizon,target_variable,sample,value
BE,C,1 wk,inc death,1,103
BE,C,2 wk,inc death,1,97
BE,C,3 wk,inc death,1,63
BE,C,4 wk,inc death,1,73
BE,C,5 wk,inc death,1,80
BE,C,6 wk,inc death,1,60
BE,C,7 wk,inc death,1,73
BE,C,8 wk,inc death,1,67
BE,C,9 wk,inc death,1,75
BE,C,10 wk,inc death,1,92
BE,C,11 wk,inc death,1,106
BE,C,12 wk,inc death,1,156
BE,C,13 wk,inc death,1,226
BE,C,14 wk,inc death,1,247
BE,C,15 wk,inc death,1,277
BE,C,16 wk,inc death,1,213
BE,C,17 wk,inc death,1,199
BE,C,18 wk,inc death,1,161
BE,C,19 wk,inc death,1,122
BE,C,20 wk,inc death,1,116
BE,C,21 wk,inc death,1,99
BE,C,22 wk,inc death,1,82
BE,C,23 wk,inc death,1,69
BE,C,24 wk,inc death,1,70
BE,C,25 wk,inc death,1,96
BE,C,26 wk,inc death,1,67
BE,C,27 wk,inc death,1,89
BE,C,28 wk,inc death,1,78
BE,C,29 wk,inc death,1,119
BE,C,30 wk,inc death,1,134
BE,C,31 wk,inc death,1,155
BE,C,32 wk,inc death,1,156
BE,C,33 wk,inc death,1,205
BE,C,34 wk,inc death,1,248
BE,C,35 wk,inc death,1,281
BE,C,36 wk,inc death,1,304
BE,C,37 wk,inc death,1,281
BE,C,38 wk,inc death,1,261
BE,C,39 wk,inc death,1,216
BE,C,40 wk,inc death,1,181
BE,C,41 wk,inc death,1,143
BE,C,42 wk,inc death,1,111
BE,C,43 wk,inc death,1,82
BE,C,44 wk,inc death,1,70
BE,C,45 wk,inc death,1,55
BE,C,46 wk,inc death,1,53
BE,C,47 wk,inc death,1,41
BE,C,48 wk,inc death,1,49
BE,C,49 wk,inc death,1,54
BE,C,50 wk,inc death,1,49
BE,C,51 wk,inc death,1,62
BE,C,52 wk,inc death,1,58
BE,C,1 wk,inc death,2,135
BE,C,2 wk,inc death,2,100
BE,C,3 wk,inc death,2,68
BE,C,4 wk,inc death,2,72
BE,C,5 wk,inc death,2,43
BE,C,6 wk,inc death,2,61
BE,C,7 wk,inc death,2,49
BE,C,8 wk,inc death,2,50
BE,C,9 wk,inc death,2,63
BE,C,10 wk,inc death,2,81
BE,C,11 wk,inc death,2,129
BE,C,12 wk,inc death,2,180
BE,C,13 wk,inc death,2,230
BE,C,14 wk,inc death,2,276
BE,C,15 wk,inc death,2,212
BE,C,16 wk,inc death,2,190
BE,C,17 wk,inc death,2,119
BE,C,18 wk,inc death,2,91
BE,C,19 wk,inc death,2,82
BE,C,20 wk,inc death,2,67
BE,C,21 wk,inc death,2,60
BE,C,22 wk,inc death,2,72
BE,C,23 wk,inc death,2,57
BE,C,24 wk,inc death,2,67
BE,C,25 wk,inc death,2,75
BE,C,26 wk,inc death,2,59
BE,C,27 wk,inc death,2,75
BE,C,28 wk,inc death,2,84
BE,C,29 wk,inc death,2,133
BE,C,30 wk,inc death,2,159
BE,C,31 wk,inc death,2,193
BE,C,32 wk,inc death,2,195
BE,C,33 wk,inc death,2,221
BE,C,34 wk,inc death,2,248
BE,C,35 wk,inc death,2,302
BE,C,36 wk,inc death,2,310
BE,C,37 wk,inc death,2,276
BE,C,38 wk,inc death,2,235
BE,C,39 wk,inc death,2,187
BE,C,40 wk,inc death,2,155
BE,C,41 wk,inc death,2,125
BE,C,42 wk,inc death,2,98
BE,C,43 wk,inc death,2,70
BE,C,44 wk,inc death,2,60
BE,C,45 wk,inc death,2,36
BE,C,46 wk,inc death,2,44
BE,C,47 wk,inc death,2,28
BE,C,48 wk,inc death,2,52
BE,C,49 wk,inc death,2,35
BE,C,50 wk,inc death,2,66
BE,C,51 wk,inc death,2,74
BE,C,52 wk,inc death,2,61
BE,C,1 wk,inc death,3,74
BE,C,2 wk,inc death,3,83
BE,C,3 wk,inc death,3,75
BE,C,4 wk,inc death,3,75
BE,C,5 wk,inc death,3,51
BE,C,6 wk,inc death,3,38
BE,C,7 wk,inc death,3,50
BE,C,8 wk,inc death,3,42
BE,C,9 wk,inc death,3,47
BE,C,10 wk,inc death,3,43
BE,C,11 wk,inc death,3,65
BE,C,12 wk,inc death,3,116
BE,C,13 wk,inc death,3,150
BE,C,14 wk,inc death,3,208
BE,C,15 wk,inc death,3,251
BE,C,16 wk,inc death,3,257
BE,C,17 wk,inc death,3,243
BE,C,18 wk,inc death,3,213
BE,C,19 wk,inc death,3,170
BE,C,20 wk,inc death,3,138
BE,C,21 wk,inc death,3,77
BE,C,22 wk,inc death,3,81
BE,C,23 wk,inc death,3,59
BE,C,24 wk,inc death,3,51
BE,C,25 wk,inc death,3,43
BE,C,26 wk,inc death,3,45
BE,C,27 wk,inc death,3,57
BE,C,28 wk,inc death,3,59
BE,C,29 wk,inc death,3,99
BE,C,30 wk,inc death,3,141
BE,C,31 wk,inc death,3,152
BE,C,32 wk,inc death,3,142
BE,C,33 wk,inc death,3,190
BE,C,34 wk,inc death,3,234
BE,C,35 wk,inc death,3,307
BE,C,36 wk,inc death,3,306
BE,C,37 wk,inc death,3,336
BE,C,38 wk,inc death,3,309
BE,C,39 wk,inc death,3,281
BE,C,40 wk,inc death,3,226
BE,C,41 wk,inc death,3,179
BE,C,42 wk,inc death,3,134
BE,C,43 wk,inc death,3,77
BE,C,44 wk,inc death,3,52
BE,C,45 wk,inc death,3,36
BE,C,46 wk,inc death,3,32
BE,C,47 wk,inc death,3,21
BE,C,48 wk,inc death,3,34
BE,C,49 wk,inc death,3,21
BE,C,50 wk,inc death,3,25
BE,C,51 wk,inc death,3,29
BE,C,52 wk,inc death,3,43
BE,C,1 wk,inc death,4,116
BE,C,2 wk,inc death,4,90
BE,C,3 wk,inc death,4,83
BE,C,4 wk,inc death,4,54
BE,C,5 wk,inc death,4,76
BE,C,6 wk,inc death,4,65
BE,C,7 wk,inc death,4,58
BE,C,8 wk,inc death,4,64
BE,C,9 wk,inc death,4,78
BE,C,10 wk,inc death,4,100
BE,C,11 wk,inc death,4,108
BE,C,12 wk,inc death,4,132
BE,C,13 wk,inc death,4,149
BE,C,14 wk,inc death,4,146
BE,C,15 wk,inc death,4,125
BE,C,16 wk,inc death,4,126
BE,C,17 wk,inc death,4,103
BE,C,18 wk,inc death,4,90
BE,C,19 wk,inc death,4,83
BE,C,20 wk,inc death,4,91
BE,C,21 wk,inc death,4,67
BE,C,22 wk,inc death,4,54
BE,C,23 wk,inc death,4,83
BE,C,24 wk,inc death,4,79
BE,C,25 wk,inc death,4,71
BE,C,26 wk,inc death,4,56
BE,C,27 wk,inc death,4,54
BE,C,28 wk,inc death,4,68
BE,C,29 wk,inc death,4,107
BE,C,30 wk,inc death,4,149
BE,C,31 wk,inc death,4,201
BE,C,32 wk,inc death,4,216
BE,C,33 wk,inc death,4,256
BE,C,34 wk,inc death,4,284
BE,C,35 wk,inc death,4,303
BE,C,36 wk,inc death,4,249
BE,C,37 wk,inc death,4,190
BE,C,38 wk,inc death,4,124
BE,C,39 wk,inc death,4,90
BE,C,40 wk,inc death,4,76
BE,C,41 wk,inc death,4,58
BE,C,42 wk,inc death,4,47
BE,C,43 wk,inc death,4,37
BE,C,44 wk,inc death,4,48
BE,C,45 wk,inc death,4,60
BE,C,46 wk,inc death,4,50
BE,C,47 wk,inc death,4,52
BE,C,48 wk,inc death,4,45
BE,C,49 wk,inc death,4,50
BE,C,50 wk,inc death,4,55
BE,C,51 wk,inc death,4,48
BE,C,52 wk,inc death,4,66
BE,C,1 wk,inc death,5,104
BE,C,2 wk,inc death,5,99
BE,C,3 wk,inc death,5,68
BE,C,4 wk,inc death,5,68
BE,C,5 wk,inc death,5,51
BE,C,6 wk,inc death,5,49
BE,C,7 wk,inc death,5,63
BE,C,8 wk,inc death,5,66
BE,C,9 wk,inc death,5,62
BE,C,10 wk,inc death,5,115
BE,C,11 wk,inc death,5,149
BE,C,12 wk,inc death,5,225
BE,C,13 wk,inc death,5,235
BE,C,14 wk,inc death,5,217
BE,C,15 wk,inc death,5,205
BE,C,16 wk,inc death,5,176
BE,C,17 wk,inc death,5,110
BE,C,18 wk,inc death,5,113
BE,C,19 wk,inc death,5,68
BE,C,20 wk,inc death,5,78
BE,C,21 wk,inc death,5,73
BE,C,22 wk,inc death,5,78
BE,C,23 wk,inc death,5,77
BE,C,24 wk,inc death,5,92
BE,C,25 wk,inc death,5,92
BE,C,26 wk,inc death,5,97
BE,C,27 wk,inc death,5,77
BE,C,28 wk,inc death,5,152
BE,C,29 wk,inc death,5,152
BE,C,30 wk,inc death,5,211
BE,C,31 wk,inc death,5,209
BE,C,32 wk,inc death,5,220
BE,C,33 wk,inc death,5,174
BE,C,34 wk,inc death,5,168
BE,C,35 wk,inc death,5,171
BE,C,36 wk,inc death,5,210
BE,C,37 wk,inc death,5,203
BE,C,38 wk,inc death,5,181
BE,C,39 wk,inc death,5,186
BE,C,40 wk,inc death,5,151
BE,C,41 wk,inc death,5,120
BE,C,42 wk,inc death,5,141
BE,C,43 wk,inc death,5,104
BE,C,44 wk,inc death,5,76
BE,C,45 wk,inc death,5,45
BE,C,46 wk,inc death,5,40
BE,C,47 wk,inc death,5,32
BE,C,48 wk,inc death,5,62
BE,C,49 wk,inc death,5,59
BE,C,50 wk,inc death,5,64
BE,C,51 wk,inc death,5,85
BE,C,52 wk,inc death,5,75
BE,C,1 wk,inc death,6,95
BE,C,2 wk,inc death,6,82
BE,C,3 wk,inc death,6,63
BE,C,4 wk,inc death,6,58
BE,C,5 wk,inc death,6,52
BE,C,6 wk,inc death,6,66
BE,C,7 wk,inc death,6,48
BE,C,8 wk,inc death,6,78
BE,C,9 wk,inc death,6,79
BE,C,10 wk,inc death,6,103
BE,C,11 wk,inc death,6,107
BE,C,12 wk,inc death,6,174
BE,C,13 wk,inc death,6,208
BE,C,14 wk,inc death,6,159
BE,C,15 wk,inc death,6,147
BE,C,16 wk,inc death,6,125
BE,C,17 wk,inc death,6,103
BE,C,18 wk,inc death,6,84
BE,C,19 wk,inc death,6,71
BE,C,20 wk,inc death,6,54
BE,C,21 wk,inc death,6,58
BE,C,22 wk,inc death,6,75
BE,C,23 wk,inc death,6,53
BE,C,24 wk,inc death,6,48
BE,C,25 wk,inc death,6,80
BE,C,26 wk,inc death,6,73
BE,C,27 wk,inc death,6,49
BE,C,28 wk,inc death,6,57
BE,C,29 wk,inc death,6,101
BE,C,30 wk,inc death,6,128
BE,C,31 wk,inc death,6,134
BE,C,32 wk,inc death,6,122
BE,C,33 wk,inc death,6,134
BE,C,34 wk,inc death,6,141
BE,C,35 wk,inc death,6,162
BE,C,36 wk,inc death,6,171
BE,C,37 wk,inc death,6,190
BE,C,38 wk,inc death,6,181
BE,C,39 wk,inc death,6,176
BE,C,40 wk,inc death,6,106
BE,C,41 wk,inc death,6,81
BE,C,42 wk,inc death,6,67
BE,C,43 wk,inc death,6,53
BE,C,44 wk,inc death,6,47
BE,C,45 wk,inc death,6,36
BE,C,46 wk,inc death,6,35
BE,C,47 wk,inc death,6,31
BE,C,48 wk,inc death,6,41
BE,C,49 wk,inc death,6,34
BE,C,50 wk,inc death,6,55
BE,C,51 wk,inc death,6,49
BE,C,52 wk,inc death,6,63
BE,C,1 wk,inc death,7,92
BE,C,2 wk,inc death,7,90
BE,C,3 wk,inc death,7,77
BE,C,4 wk,inc death,7,58
BE,C,5 wk,inc death,7,63
BE,C,6 wk,inc death,7,52
BE,C,7 wk,inc death,7,51
BE,C,8 wk,inc death,7,58
BE,C,9 wk,inc death,7,64
BE,C,10 wk,inc death,7,66
BE,C,11 wk,inc death,7,105
BE,C,12 wk,inc death,7,151
BE,C,13 wk,inc death,7,200
BE,C,14 wk,inc death,7,222
BE,C,15 wk,inc death,7,228
BE,C,16 wk,inc death,7,205
BE,C,17 wk,inc death,7,159
BE,C,18 wk,inc death,7,112
BE,C,19 wk,inc death,7,82
BE,C,20 wk,inc death,7,71
BE,C,21 wk,inc death,7,62
BE,C,22 wk,inc death,7,56
BE,C,23 wk,inc death,7,67
BE,C,24 wk,inc death,7,45
BE,C,25 wk,inc death,7,59
BE,C,26 wk,inc death,7,74
BE,C,27 wk,inc death,7,82
BE,C,28 wk,inc death,7,119
BE,C,29 wk,inc death,7,122
BE,C,30 wk,inc death,7,107
BE,C,31 wk,inc death,7,126
BE,C,32 wk,inc death,7,119
BE,C,33 wk,inc death,7,156
BE,C,34 wk,inc death,7,199
BE,C,35 wk,inc death,7,300
BE,C,36 wk,inc death,7,385
BE,C,37 wk,inc death,7,378
BE,C,38 wk,inc death,7,312
BE,C,39 wk,inc death,7,256
BE,C,40 wk,inc death,7,184
BE,C,41 wk,inc death,7,135
