"scenario_id","horizon","location","sample","target_variable","value"
"A","29 wk","DE",1,"inc dose",0
"A","30 wk","DE",1,"inc infection",891236
"A","30 wk","DE",1,"inc dose",0
"A","31 wk","DE",1,"inc infection",1078654
"A","31 wk","DE",1,"inc dose",0
"A","32 wk","DE",1,"inc infection",1299553
"A","32 wk","DE",1,"inc dose",0
"A","33 wk","DE",1,"inc infection",1746445
"A","33 wk","DE",1,"inc dose",0
"A","34 wk","DE",1,"inc infection",2240282
"A","34 wk","DE",1,"inc dose",0
"A","35 wk","DE",1,"inc infection",2765781
"A","35 wk","DE",1,"inc dose",0
"A","36 wk","DE",1,"inc infection",2830558
"A","36 wk","DE",1,"inc dose",0
"A","37 wk","DE",1,"inc infection",2850574
"A","37 wk","DE",1,"inc dose",0
"A","38 wk","DE",1,"inc infection",3134066
"A","38 wk","DE",1,"inc dose",0
"A","39 wk","DE",1,"inc infection",3201391
"A","39 wk","DE",1,"inc dose",0
"A","40 wk","DE",1,"inc infection",3010334
"A","40 wk","DE",1,"inc dose",0
"A","41 wk","DE",1,"inc infection",2861491
"A","41 wk","DE",1,"inc dose",0
"A","42 wk","DE",1,"inc infection",2431339
"A","42 wk","DE",1,"inc dose",0
"A","43 wk","DE",1,"inc infection",2004463
"A","43 wk","DE",1,"inc dose",0
"A","44 wk","DE",1,"inc infection",1625988
"A","44 wk","DE",1,"inc dose",0
"A","1 wk","DE",2,"inc infection",26566
"A","1 wk","DE",2,"inc dose",0
"A","2 wk","DE",2,"inc infection",35300
"A","2 wk","DE",2,"inc dose",0
"A","3 wk","DE",2,"inc infection",40395
"A","3 wk","DE",2,"inc dose",0
"A","4 wk","DE",2,"inc infection",64050
"A","4 wk","DE",2,"inc dose",712
"A","5 wk","DE",2,"inc infection",73148
"A","5 wk","DE",2,"inc dose",0
"A","6 wk","DE",2,"inc infection",103717
"A","6 wk","DE",2,"inc dose",0
"A","7 wk","DE",2,"inc infection",167766
"A","7 wk","DE",2,"inc dose",0
"A","8 wk","DE",2,"inc infection",217623
